Município,Não admitido ano,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
110002,2060,175,130,167,209,200,244,185,177,166,200,185,191,4289
110004,2068,266,150,155,263,434,397,331,291,242,297,224,101,5219
110006,136,19,4,9,12,42,67,43,22,16,49,33,72,524
110008,24,20,3,1,14,16,7,2,2,5,1,0,0,95
110009,75,4,4,3,1,8,2,8,1,10,1,0,1,118
110010,1256,68,46,36,41,46,35,45,56,71,118,95,46,1959
110011,281,13,7,13,12,41,56,62,30,13,30,53,50,661
110012,4399,419,232,257,241,397,502,487,451,436,540,554,317,9232
110015,257,22,14,10,22,32,27,24,30,18,47,58,35,596
110018,1134,75,64,104,150,237,200,168,116,125,94,95,63,2625
110020,56537,2512,2186,2959,2471,2691,2281,5351,2171,2100,1957,2168,1397,86781
110025,100,16,3,5,8,3,7,15,7,17,4,23,11,219
110030,2388,467,226,306,262,256,394,373,283,300,251,263,187,5956
120005,15,0,0,0,0,1,0,1,0,0,0,0,0,17
120010,210,7,2,21,7,11,5,27,0,3,5,4,1,303
120020,1071,67,167,41,26,16,15,34,12,31,14,31,7,1532
120030,134,2,0,0,0,1,0,1,2,2,1,1,0,144
120033,11,0,2,0,0,0,2,0,0,1,0,0,0,16
120034,14,1,0,0,1,0,0,0,0,4,1,0,0,21
120038,22,1,1,0,0,2,0,0,3,1,0,0,0,30
120040,27560,1789,677,877,553,812,858,1797,639,651,605,547,382,37747
120045,42,0,0,1,2,4,2,2,6,0,0,3,0,62
120050,266,9,2,27,7,2,9,18,13,45,17,8,0,423
120060,113,5,3,1,0,0,1,0,2,1,1,8,0,135
120070,114,4,0,0,2,8,8,1,2,1,1,2,3,146
130010,34,112,0,4,0,2,0,2,1,3,2,1,1,162
130020,28,0,1,2,1,11,2,0,1,8,3,1,3,61
130030,80,4,2,2,4,10,1,1,0,0,0,0,0,104
130040,27,0,0,2,1,0,0,1,1,0,0,0,0,32
130050,258,1,1,0,1,1,1,30,1,1,0,0,0,295
130060,634,4,17,36,11,23,34,34,17,10,8,14,12,854
130070,385,1,2,2,1,1,5,5,1,5,7,0,1,416
130080,563,83,17,8,3,1,9,7,6,3,1,3,3,707
130090,7,0,0,0,2,0,0,0,0,0,0,0,0,9
130100,240,4,4,3,4,0,1,4,3,0,2,0,0,265
130110,194,9,12,9,17,13,16,17,18,14,20,16,4,359
130120,449,9,3,3,5,6,13,11,31,9,1,6,4,550
130130,42,194,3,19,0,5,16,20,1,2,0,10,0,312
130140,710,24,41,38,21,26,59,10,54,47,39,30,12,1111
130150,5,0,0,0,0,0,0,0,0,0,0,0,0,5
130160,21,0,0,0,0,0,2,0,0,0,0,0,0,23
130170,633,39,24,41,59,78,25,82,43,52,26,46,29,1177
130180,66,9,0,0,1,0,0,0,0,0,0,0,0,76
130190,2788,710,227,175,176,176,146,164,204,151,125,82,74,5198
130200,7,0,0,0,0,0,0,0,0,0,0,0,0,7
130210,16,0,0,0,0,0,0,0,1,0,0,0,0,17
130220,9,0,0,0,0,0,0,0,0,0,0,0,1,10
130230,11,0,0,0,1,0,0,0,0,0,0,1,2,15
130240,376,6,1,7,2,2,1,6,2,0,1,0,0,404
130250,989,36,146,20,15,42,38,65,33,28,15,35,23,1485
130260,156140,8811,7198,7945,7402,7309,7523,10187,9104,9399,9229,8283,5061,253591
130270,682,30,21,13,44,41,46,43,31,37,22,13,2,1025
130280,11,0,0,1,0,0,0,0,0,0,0,0,0,12
130290,473,7,2,13,4,36,4,4,4,7,0,2,1,557
130300,86,1,2,36,1,2,0,1,1,0,1,0,1,132
130310,291,23,0,8,1,0,1,3,0,2,3,0,0,332
130320,73,0,17,8,3,2,3,0,11,5,5,1,1,129
130330,403,26,0,0,0,0,0,0,0,0,0,0,0,429
130340,1744,69,78,37,18,19,39,58,32,19,12,23,9,2157
130350,7,0,1,1,0,0,0,0,0,0,0,0,4,13
130360,4,0,0,1,0,0,0,0,0,0,0,0,0,5
130370,20,47,0,0,3,0,0,0,6,0,3,0,0,79
130380,152,79,1,0,2,0,3,1,3,4,0,3,2,250
130390,93,0,1,13,4,0,5,1,0,0,2,1,3,123
130400,32,0,0,5,0,0,0,1,2,3,0,0,2,45
130410,16,1,0,1,0,0,0,3,2,1,0,0,1,25
130420,499,450,11,29,7,12,13,21,17,21,19,42,5,1146
130430,106,5,0,4,0,0,0,0,0,2,1,0,0,118
130440,94,4,1,10,1,7,1,1,0,0,0,0,0,119
140005,41,6,1,4,3,3,2,0,0,0,0,0,0,60
140010,13121,646,551,562,367,367,356,566,313,415,347,457,331,18399
140015,8,0,1,0,0,0,1,0,0,0,0,0,0,10
140020,113,6,6,3,5,0,1,4,0,4,3,4,3,152
140030,5,0,0,0,0,0,0,0,0,0,0,0,0,5
140040,8,0,1,0,0,0,1,1,0,0,0,0,0,11
140060,8,0,0,0,2,0,0,2,0,0,0,0,0,12
150010,2082,68,28,37,35,39,51,129,24,54,45,58,21,2671
150020,195,68,8,47,20,26,21,6,19,27,10,6,10,463
150030,131,7,34,24,5,19,28,10,8,7,7,6,6,292
150040,513,18,19,16,16,6,8,10,23,2,5,5,0,641
150050,7473,728,733,825,491,419,517,682,716,495,451,401,237,14168
150060,1993,77,75,106,81,124,65,165,146,122,102,125,83,3264
150070,13,2,1,0,0,1,0,2,51,79,88,104,42,383
150080,9981,617,518,619,464,536,604,637,801,673,633,656,457,17196
150090,86,0,0,0,0,0,0,0,0,0,0,1,0,87
150100,109,5,6,4,1,0,1,0,2,2,3,1,1,135
