Coluna;Mês Admissão
Município;Não admitido ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
350710;2370;56;94;100;76;67;56;66;69;98;144;113;72;3381
350715;295;32;18;10;22;33;22;16;14;23;8;6;5;504
350720;123;0;11;1;2;3;4;1;0;2;1;4;0;152
350730;749;34;27;30;1575;940;465;639;218;160;109;61;19;5026
350740;1208;34;42;37;143;49;53;347;160;57;45;37;23;2235
350745;189;4;3;7;2;9;3;8;25;17;8;13;6;294
350750;21060;560;569;947;585;609;503;656;649;713;610;562;622;28645
350760;19199;696;844;722;702;961;1012;743;849;746;672;782;557;28485
350770;276;1;1;7;10;23;5;6;5;6;7;7;2;356
350775;445;3;11;24;4;6;10;1;15;5;7;5;1;537
350780;1656;63;49;68;59;89;133;58;60;115;75;89;50;2564
350790;3080;126;163;161;473;151;144;121;122;115;113;123;140;5032
350800;2006;89;52;79;110;154;275;115;144;112;138;94;55;3423
350810;1225;42;71;75;47;70;41;44;52;33;57;33;20;1810
350820;493;65;11;8;14;164;14;13;45;13;11;21;5;877
350830;828;21;17;52;29;58;24;24;37;15;32;17;14;1168
350840;4677;105;134;166;147;173;193;153;200;176;223;227;105;6679
350850;10884;289;291;306;297;401;349;288;265;296;336;317;260;14579
350860;1901;56;46;84;82;82;26;46;97;82;71;56;26;2655
350870;1479;134;87;114;161;340;148;101;93;34;47;38;35;2811
350880;1925;32;49;80;69;96;69;84;60;38;51;69;36;2658
350890;650;123;414;42;989;30;13;4;9;7;10;1;2;2294
350900;8971;344;412;385;392;436;374;350;541;566;518;489;329;14107
350910;288;2;5;7;5;7;4;6;4;6;7;2;3;346
350920;31472;1793;1852;1871;1835;4091;2980;2316;2447;2129;3090;2095;1660;59631
350925;2540;138;78;260;122;157;130;162;94;100;86;127;239;4233
350930;747;17;6;22;18;54;163;189;22;26;56;9;6;1335
350940;2190;40;53;74;230;1103;718;210;182;107;74;56;29;5066
350945;1120;101;72;42;24;42;18;60;30;52;32;110;37;1740
350950;227296;8483;8630;8425;8516;8635;8831;8076;8642;9544;8442;8275;6301;328096
350960;8074;110;175;212;276;340;259;248;269;256;223;299;138;10879
350970;7518;358;346;361;315;327;351;373;310;280;254;247;199;11239
350980;258;7;9;3;2;8;8;5;11;16;8;4;6;345
350990;573;22;43;24;19;12;18;19;5;123;36;10;9;913
350995;244;9;5;4;3;5;6;7;8;16;11;10;7;335
351000;2927;103;141;188;137;130;107;71;148;76;52;99;59;4238
351010;266;6;16;8;5;9;26;4;2;4;15;0;5;366
351015;707;15;37;162;104;88;44;32;34;21;34;16;17;1311
351020;4339;155;143;129;132;223;177;158;199;198;152;239;154;6398
351030;1094;50;48;33;36;38;61;33;47;41;31;20;25;1557
351040;8124;371;257;316;586;1638;392;464;303;222;300;193;126;13292
351050;7407;348;348;358;393;305;263;265;272;309;295;332;428;11323
351060;15389;971;996;1212;1037;1015;993;1015;1018;1067;1199;1379;1004;28295
351070;678;19;29;18;18;28;21;7;36;23;24;26;11;938
351080;3395;129;152;92;89;127;172;147;161;160;129;89;58;4900
351090;255;12;17;11;5;388;87;120;39;28;14;5;3;984
351100;1734;37;18;23;34;13;31;79;60;30;18;45;10;2132
351110;18779;812;1191;1587;3725;1707;1104;990;1028;855;2183;1669;570;36200
351120;862;104;443;603;215;123;50;75;61;31;13;7;17;2604
351130;596;20;15;17;26;30;14;18;17;20;33;20;15;841
351140;2108;99;103;152;127;114;120;126;96;73;130;91;55;3394
351150;5490;83;274;181;294;990;207;375;254;242;219;150;57;8816
351160;1090;23;62;51;71;262;59;103;119;40;22;19;13;1934
351170;1103;45;49;61;308;903;246;277;109;51;62;37;47;3298
351190;743;8;18;108;848;36;33;18;71;19;12;14;3;1931
351200;2091;93;83;62;62;45;128;103;89;50;129;285;31;3251
351210;886;30;48;46;37;35;91;83;47;30;24;15;19;1391
351220;1901;109;101;144;137;157;445;110;195;133;79;58;44;3613
351230;1676;67;89;110;121;99;80;68;85;104;94;136;41;2770
351240;3813;98;179;179;125;158;225;150;115;144;122;139;128;5575
351250;1195;96;153;52;219;225;241;331;245;204;155;117;202;3435
351260;348;5;9;10;9;6;6;2;1;1;3;3;4;407
351270;658;27;27;28;53;30;19;19;16;23;60;248;77;1285
351280;6756;185;338;552;403;1202;472;243;293;498;265;250;174;11631
351290;377;12;16;15;100;148;37;40;15;11;27;6;5;809
351300;30474;1465;1368;1420;1340;1430;1666;1280;1579;1597;1423;1881;1170;48093
351310;3030;159;132;173;134;245;334;191;198;336;184;173;90;5379
351320;926;60;54;38;67;94;138;123;60;52;38;53;26;1729
351330;255;6;1;13;2;0;6;5;4;2;6;2;0;302
351340;8508;184;221;265;181;160;155;202;308;225;238;245;217;11109
