Coluna;Mês Desligamento
Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;{ñ class};Total
430960;135;163;158;128;143;101;104;147;128;136;170;301;5466;7280
430965;15;17;35;20;11;12;21;27;25;32;20;48;2183;2466
430970;21;58;29;23;12;17;12;17;21;14;24;41;774;1063
430975;17;6;8;7;4;9;7;3;3;5;8;49;308;434
430980;15;21;16;33;9;19;19;20;16;15;15;67;724;989
430990;18;43;15;74;32;24;23;18;28;21;31;40;1085;1452
430995;14;25;9;5;11;14;10;9;6;5;14;139;305;566
431000;168;199;262;221;294;256;233;195;222;233;243;269;6416;9211
431010;397;505;728;601;876;660;342;342;373;391;418;404;11987;18024
431020;739;813;1005;920;938;758;732;787;790;853;847;1129;23025;33336
431030;16;23;21;13;15;17;15;23;12;11;17;25;655;863
431033;149;269;287;135;88;102;81;110;80;126;137;226;3725;5515
431036;25;102;23;16;20;16;19;34;18;22;29;65;1063;1452
431040;30;33;42;51;25;19;20;21;19;41;42;29;1063;1435
431041;4;1;3;6;5;1;0;2;2;0;6;42;231;303
431043;35;54;47;47;52;26;31;39;27;31;41;49;976;1455
431046;2;6;7;17;3;2;2;11;4;6;8;43;216;327
431050;11;23;29;27;15;11;9;18;22;16;13;24;800;1018
431053;23;79;27;10;301;66;16;54;29;24;23;62;857;1571
431055;16;20;8;7;10;10;10;14;9;6;15;42;402;569
431057;7;1;3;1;8;1;2;4;2;4;1;4;184;222
431060;160;217;213;313;373;247;179;163;262;151;154;306;7107;9845
431065;9;85;5;5;1;2;9;6;3;8;1;11;342;487
431070;0;4;6;1;7;12;4;13;2;2;4;16;271;342
431075;3;5;1;4;2;2;2;2;2;5;2;10;179;219
431080;289;371;385;305;365;279;180;230;185;253;239;264;7341;10686
431085;10;5;8;10;2;14;12;6;7;2;2;46;390;514
431087;6;5;3;7;4;8;3;5;5;7;3;42;259;357
431090;15;22;19;23;13;11;17;14;19;24;16;26;589;808
431100;143;91;136;165;132;97;61;76;67;73;80;98;3779;4998
431110;21;42;43;32;32;31;26;22;31;13;16;37;1388;1734
431112;18;16;38;51;22;11;18;16;21;14;13;75;647;960
431113;8;9;10;51;21;7;5;6;9;3;21;21;409;580
431115;17;24;29;55;13;23;27;27;15;18;30;44;861;1183
431120;70;85;98;145;97;81;73;58;72;67;75;177;3300;4398
431123;1;1;5;5;3;2;5;2;3;2;3;47;159;238
431125;2;2;6;4;24;4;2;4;2;3;4;11;358;426
431127;7;5;3;8;4;7;15;6;7;7;15;36;275;395
431130;234;227;225;261;290;191;178;197;219;218;220;191;5812;8463
431140;1240;1355;1491;1194;1480;1309;1229;1253;1218;1395;1316;1521;37311;53312
431142;8;7;5;2;6;19;6;7;4;7;3;46;251;371
431150;30;30;33;56;42;22;15;40;40;34;22;31;1157;1552
431160;22;14;17;16;10;5;3;18;5;12;19;53;454;648
431162;85;97;127;152;85;65;48;70;87;124;105;115;2458;3618
431164;8;4;7;3;8;10;7;5;7;7;8;6;232;312
431170;21;32;28;83;47;17;10;6;10;21;14;41;770;1100
431171;18;23;17;13;16;18;13;14;16;33;14;46;619;860
431173;4;6;8;6;8;5;6;7;0;7;10;90;174;331
431175;22;21;22;22;19;21;19;23;14;11;22;22;828;1066
431177;15;19;24;23;17;15;14;14;17;22;22;20;875;1097
431179;10;23;25;14;47;22;19;14;27;12;28;62;373;676
431180;522;569;706;478;550;451;507;566;530;663;543;761;15766;22612
431190;19;25;21;29;27;17;18;19;12;19;20;47;641;914
431198;8;8;9;6;4;9;6;10;8;0;7;8;378;461
431200;10;9;8;8;7;6;2;6;4;8;22;8;303;401
431205;12;14;15;18;6;10;18;12;11;11;17;32;556;732
431210;8;5;6;13;4;4;10;4;6;5;5;11;501;582
431213;1;6;11;14;9;3;3;2;4;3;5;6;158;225
431215;59;83;182;388;265;78;50;33;58;29;23;29;1051;2328
431217;2;7;6;7;2;2;5;2;3;3;4;20;188;251
431220;23;17;17;14;7;10;18;22;9;16;19;45;537;754
431225;42;76;52;71;54;47;26;20;27;24;27;97;978;1541
431230;69;67;58;61;60;60;74;96;53;68;73;144;1680;2563
431235;9;9;4;4;5;8;10;4;4;8;7;6;326;404
431237;8;26;85;65;15;5;8;6;23;15;26;49;335;666
431238;22;14;21;9;17;19;12;11;6;10;9;28;320;498
431240;779;756;823;775;805;654;572;629;730;861;864;975;20183;29406
431242;4;3;8;5;7;12;7;9;5;6;14;44;299;423
431244;10;15;17;9;7;4;4;8;4;6;9;58;288;439
431245;541;122;9;7;4;8;9;15;12;12;55;227;1211;2232
431247;71;51;74;50;114;184;63;38;43;47;45;67;1695;2542
431250;59;76;97;130;95;67;79;47;47;77;61;109;2338;3282
431260;99;83;100;167;63;46;49;369;52;92;90;131;2129;3470
431261;20;135;82;79;18;50;23;35;18;18;158;41;734;1411
431262;13;4;7;6;4;5;5;5;23;3;8;25;208;316
431265;159;169;484;157;213;169;146;205;180;224;210;242;8011;10569
431267;7;7;2;7;8;7;7;7;1;4;5;12;253;327
431270;66;58;47;60;72;47;68;43;55;54;53;125;1700;2448
431275;29;33;34;26;72;28;35;37;47;47;59;85;1030;1562
431280;84;89;80;74;72;82;113;93;127;126;116;136;2447;3639
431290;197;202;196;157;283;171;193;165;170;171;173;199;3832;6109
431295;10;22;9;12;15;8;8;19;13;24;19;44;528;731
431300;11;12;18;10;12;14;16;15;7;16;10;30;548;719
431301;16;25;26;15;34;19;20;29;27;31;17;33;942;1234
431303;14;38;46;73;98;102;45;21;31;32;37;67;1578;2182
431306;169;184;392;282;311;302;136;201;130;169;225;194;6926;9621
