Município,Não admitido ano,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
412680,2210,29,34,207,443,92,62,26,59,21,22,20,16,3241
412690,255,9,7,6,2,2,1,31,8,5,3,4,2,335
412700,1005,53,27,52,109,50,83,42,52,34,40,26,13,1586
412710,9747,458,337,819,599,533,816,465,453,489,341,336,335,15728
412720,1530,24,47,51,42,48,67,47,112,38,46,20,17,2089
412730,947,23,29,45,60,39,41,49,38,24,19,19,4,1337
412740,1029,27,25,33,44,194,53,41,44,46,33,21,11,1601
412750,1278,48,48,87,105,50,47,49,53,52,126,30,40,2013
412760,630,33,16,30,22,34,32,31,24,39,13,20,28,952
412770,14845,606,781,838,695,660,547,522,467,616,472,507,378,21934
412780,561,12,10,18,18,13,11,15,14,16,20,11,5,724
412785,339,2,8,16,14,15,9,12,5,10,5,6,4,445
412788,266,22,5,26,5,4,7,43,18,5,6,2,4,413
412790,517,11,7,37,12,18,24,8,20,17,27,7,5,710
412795,362,4,8,10,3,2,6,7,8,4,5,5,1,425
412796,1076,41,18,33,54,37,18,11,25,21,16,11,13,1374
412800,1865,83,47,66,37,50,47,42,31,31,75,28,51,2453
412810,11673,434,592,1122,1534,992,658,1130,554,718,486,442,281,20616
412820,7760,400,312,414,389,387,345,374,355,319,398,273,177,11903
412830,60,3,0,6,4,2,1,5,3,1,2,2,0,89
412840,1214,79,49,32,72,40,14,95,49,48,37,33,28,1790
412850,1058,31,96,47,67,70,65,119,40,97,43,20,9,1762
412853,430,30,10,29,39,19,11,15,21,35,37,15,11,702
412855,517,33,18,46,16,21,18,11,19,10,8,12,7,736
412860,345,6,8,8,35,5,3,6,4,16,11,8,4,459
412862,353,19,23,12,27,16,31,3,9,6,9,11,3,522
412863,251,28,21,5,27,15,12,53,40,48,33,11,26,570
412865,214,15,18,20,6,14,6,9,11,5,6,0,0,324
412870,484,17,27,28,29,16,11,10,16,20,70,12,42,782
412880,112,6,9,3,2,12,9,6,1,1,8,18,2,189
419999,780,339,210,473,122,198,167,289,101,51,109,35,12,2886
420005,109,9,23,13,6,12,20,3,0,11,1,4,3,214
420010,957,96,96,60,77,56,70,24,48,70,86,61,32,1733
420020,1216,12,57,79,78,51,54,41,40,51,68,21,16,1784
420030,284,21,27,11,14,20,17,6,10,8,7,5,5,435
420040,649,57,53,39,27,25,12,36,33,26,10,22,6,995
420050,187,23,22,5,5,6,5,8,3,9,1,12,4,290
420055,112,6,15,5,3,7,0,1,3,7,2,1,0,162
420060,276,11,22,12,7,6,3,12,3,7,6,4,10,379
420070,340,11,56,22,16,24,23,11,19,13,11,16,12,574
420080,344,24,29,23,19,18,15,10,13,12,17,8,4,536
420090,304,15,30,6,4,5,12,12,9,7,8,4,1,417
420100,342,9,28,45,31,7,11,3,6,7,4,2,6,501
420110,527,14,10,49,22,12,18,7,30,8,12,13,12,734
420120,537,9,30,15,17,12,14,7,16,7,17,9,0,690
420125,1253,76,99,60,97,68,49,55,40,33,30,39,11,1910
420127,145,10,6,9,3,2,7,6,7,10,9,10,0,224
420130,1327,66,59,70,60,66,53,31,47,89,79,41,30,2018
420140,5236,401,245,327,285,260,297,253,245,255,218,242,287,8551
420150,507,10,19,31,42,46,41,28,43,20,23,38,8,856
420160,306,23,12,19,14,36,16,12,6,10,13,4,3,474
420165,62,1,9,3,1,0,2,4,0,0,0,0,0,82
420170,1603,123,118,110,96,62,57,48,32,53,70,39,15,2426
420180,285,13,13,11,11,58,14,8,12,17,12,13,3,470
420190,213,16,36,8,12,24,12,16,15,15,19,4,6,396
420200,11555,1934,838,856,685,638,544,648,810,855,1079,1113,1927,23482
420205,623,31,32,49,32,36,66,30,49,18,55,21,45,1087
420210,940,85,63,36,41,42,31,49,36,49,35,54,91,1552
420215,80,7,8,5,1,2,5,3,3,2,2,1,0,119
420220,1688,62,81,71,99,110,65,83,65,54,48,44,15,2485
420230,3371,223,227,229,253,289,324,275,262,365,160,131,114,6223
420240,67682,3473,3859,3752,3855,3671,3306,3135,3098,3119,3105,2900,1598,106553
420245,558,177,40,41,31,37,56,60,41,54,34,38,255,1422
420250,361,22,19,17,9,7,15,2,6,5,5,11,3,482
420260,627,47,63,27,36,27,26,29,19,21,44,28,24,1018
420270,436,8,17,36,25,13,26,9,10,6,16,5,1,608
420280,3535,190,283,258,277,205,188,190,157,141,173,141,72,5810
420285,575,22,28,20,34,15,20,14,22,21,8,16,13,808
420290,19622,649,807,825,752,737,752,657,555,667,561,444,194,27222
420300,12452,762,889,638,636,620,570,554,544,856,381,363,212,19477
420310,311,31,44,22,22,14,7,10,8,8,6,13,16,512
420315,183,13,9,39,9,17,5,8,42,39,8,11,6,389
420320,1769,184,172,161,118,103,100,110,96,118,62,104,68,3165
420330,1878,54,111,64,42,50,74,59,47,57,28,23,9,2496
420340,867,36,49,40,87,39,39,29,45,33,73,34,9,1380
420350,661,83,75,69,24,30,28,41,33,30,27,14,23,1138
420360,3410,147,248,185,202,138,116,102,129,128,128,138,111,5182
420370,933,32,35,30,31,21,23,66,85,49,37,25,9,1376
420380,6723,324,426,371,299,317,252,269,296,225,252,282,238,10274
420390,4481,111,123,170,182,72,114,3215,79,82,68,42,36,8775
420395,2669,134,130,116,101,131,203,206,195,104,72,144,92,4297
420400,989,47,96,62,45,38,61,255,54,73,47,49,35,1851
420410,220,8,15,4,7,3,6,7,7,5,3,5,5,295
420415,111,3,12,27,2,5,0,1,1,1,0,0,1,164
420417,18,1,0,0,0,0,0,0,0,1,0,1,2,23
420420,25267,892,1126,1142,1104,1072,1111,1068,979,1059,1041,796,634,37291
