Coluna;Mês Admissão
Município;Não admitido ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
110001;1942;113;89;83;116;63;131;120;92;84;63;39;60;2995
110002;13228;1001;1169;1142;1150;974;1256;1036;940;1020;960;806;546;25228
110003;414;19;48;20;13;9;16;56;46;13;13;12;10;689
110004;11306;551;1008;675;606;679;704;686;709;636;633;633;509;19335
110005;1537;54;61;53;61;78;94;107;81;95;84;80;53;2438
110006;1856;77;66;67;72;75;39;88;81;61;68;48;30;2628
110007;611;21;80;33;46;31;46;51;31;46;31;30;19;1076
110008;799;43;15;46;29;33;28;24;25;36;20;20;14;1132
110009;3306;178;183;171;165;219;262;235;246;223;196;134;105;5623
110010;2905;79;106;170;70;57;172;118;111;76;106;77;75;4122
110011;7315;335;413;404;514;369;389;568;409;303;265;280;203;11767
110012;18810;1144;952;1156;1014;1437;1188;1278;1280;1219;1142;1345;808;32773
110013;2323;110;126;118;81;77;120;119;98;175;105;58;43;3553
110014;1017;58;55;31;57;35;65;71;66;48;51;31;20;1605
110015;4355;234;305;227;226;294;262;227;211;205;171;172;157;7046
110018;6202;530;403;383;385;395;488;617;422;363;381;311;543;11423
110020;118972;3405;3926;4469;4251;4070;4722;5180;5020;5549;6002;4931;3638;174135
110025;1729;78;101;76;81;76;88;85;80;69;66;76;37;2642
110026;376;10;19;9;8;8;23;19;13;6;28;10;1;530
110028;7604;420;469;491;664;484;469;527;464;458;404;588;406;13448
110029;971;21;27;31;30;40;108;103;76;58;16;20;13;1514
110030;12927;985;940;916;853;763;892;971;948;872;918;933;573;23491
110032;1253;99;65;100;94;76;87;51;87;113;62;53;33;2173
110033;1348;64;71;43;66;49;73;58;63;39;19;26;16;1935
110034;1301;43;38;180;57;103;56;42;39;35;22;21;13;1950
110037;646;18;31;45;24;23;39;34;18;13;6;14;12;923
110040;1132;48;65;59;41;87;75;66;61;52;61;46;19;1812
110045;2637;208;120;213;131;119;168;251;234;210;157;155;68;4671
110050;594;5;8;7;10;8;2;15;10;15;14;9;6;703
110060;399;8;13;30;16;13;10;10;4;4;8;9;3;527
110070;552;7;5;5;11;16;25;17;22;15;7;13;6;701
110080;1165;56;54;67;84;59;63;95;54;37;35;48;20;1837
110090;377;15;18;11;17;10;7;7;4;4;2;4;0;476
110092;1613;131;126;87;118;111;137;152;140;98;98;117;70;2998
110094;1325;91;145;58;75;76;66;83;119;131;160;65;31;2425
110100;549;2;16;13;7;7;9;5;13;17;13;11;4;666
