Coluna;Mês Admissão
Município;Não admitido ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
110001;2839;139;86;85;113;113;94;103;126;108;117;104;63;4090
110002;17608;786;796;906;718;779;714;741;817;731;742;671;516;26525
110003;736;26;14;11;17;15;14;21;18;18;27;17;9;943
110004;17525;747;1024;895;760;898;596;886;920;763;882;702;538;27136
110005;2371;90;105;68;97;73;49;71;72;61;60;67;63;3247
110006;2337;102;72;97;60;84;51;70;66;69;91;88;55;3242
110007;1153;102;59;44;27;61;24;52;61;49;69;41;29;1771
110008;923;21;25;30;39;28;20;17;20;31;14;28;16;1212
110009;4944;207;171;164;192;176;183;263;272;234;180;153;100;7239
110010;3962;111;110;151;111;101;126;88;126;113;126;92;107;5324
110011;9624;369;498;365;381;413;246;477;334;377;359;323;299;14065
110012;27481;1543;1310;1414;1208;1184;1057;1377;1343;1183;1074;1128;804;42106
110013;3148;85;132;127;106;96;94;134;132;136;109;117;80;4496
110014;1653;40;32;48;66;50;89;79;67;64;46;34;35;2303
110015;5479;157;181;220;170;190;166;171;199;173;166;182;153;7607
110018;9128;372;568;506;364;332;336;391;459;383;358;425;274;13896
110020;159190;4399;3993;4095;4397;4370;3803;4356;4688;4002;4184;3429;2809;207715
110025;2500;118;187;78;87;91;78;120;81;56;54;59;41;3550
110026;659;30;44;33;23;52;37;52;26;31;29;19;18;1053
110028;10510;460;452;389;375;455;389;464;489;512;448;407;442;15792
110029;1117;48;50;23;23;24;21;29;50;53;28;17;19;1502
110030;19329;1412;1106;1039;1056;1251;875;1486;1012;1099;925;817;674;32081
110032;3303;119;111;114;168;87;102;106;142;74;135;111;74;4646
110033;1828;44;45;66;46;37;47;54;55;43;35;42;25;2367
110034;1348;30;25;50;29;33;41;39;48;33;59;34;27;1796
110037;1067;22;31;56;37;22;23;17;18;30;14;29;9;1375
110040;1363;33;44;108;54;49;42;55;51;70;46;31;33;1979
110045;3471;218;226;184;179;152;317;189;186;128;139;118;78;5585
110050;819;13;34;22;30;23;26;36;22;23;21;28;18;1115
110060;507;20;44;14;20;19;10;14;11;5;13;6;2;685
110070;904;21;28;69;39;39;41;28;26;28;24;26;10;1283
110080;2237;177;173;108;260;93;74;105;95;114;68;47;68;3619
110090;526;11;12;18;17;11;11;55;22;16;15;9;8;731
110092;2889;185;154;188;154;176;154;152;243;130;149;110;52;4736
110094;1384;59;155;62;67;69;62;64;43;62;68;61;19;2175
110100;680;25;13;31;10;28;12;17;17;42;15;17;8;915
110110;1267;25;26;21;29;85;55;35;29;35;29;41;23;1700
110120;842;28;29;18;15;33;28;17;32;16;21;17;11;1107
110130;1308;40;31;36;34;47;46;51;27;39;23;38;23;1743
110140;1218;41;103;58;61;90;45;32;42;33;29;120;44;1916
110143;533;10;53;18;15;10;16;10;19;11;14;8;7;724
110145;647;24;20;25;28;14;13;15;11;11;16;31;10;865
110146;618;24;45;28;31;21;23;41;26;30;21;15;12;935
110147;389;5;10;2;4;5;4;8;9;9;6;12;11;474
110148;529;17;8;8;15;16;17;9;15;19;10;29;5;697
110149;1505;66;107;47;41;64;57;58;92;44;67;46;37;2231
110150;1257;40;31;65;46;75;43;43;37;24;32;38;45;1776
110155;399;7;11;7;6;7;2;14;6;10;17;15;1;502
110160;931;33;14;69;41;30;16;38;53;22;28;16;9;1300
110170;1149;38;41;41;40;36;26;50;41;28;30;32;29;1581
110175;729;15;46;30;32;32;12;47;15;11;30;14;8;1021
110180;686;17;8;37;10;36;11;10;20;9;11;16;8;879
119999;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120001;867;40;46;33;30;20;32;29;18;28;22;13;13;1191
120005;348;10;6;35;42;4;24;2;8;4;4;7;4;498
120010;2189;88;45;58;67;68;99;71;46;61;69;86;61;3008
120013;1693;67;41;62;45;52;43;56;77;45;45;24;22;2272
120017;653;8;9;24;5;20;11;11;19;16;8;8;5;797
120020;8168;475;231;444;250;298;292;376;242;260;212;207;151;11606
120025;1410;35;29;29;52;48;35;38;37;43;39;30;24;1849
120030;1685;54;33;59;243;91;35;79;15;26;33;16;4;2373
120032;518;2;0;3;3;0;0;2;1;1;0;2;0;532
120033;865;9;51;12;48;19;13;7;7;3;9;4;4;1051
120034;759;14;9;9;7;22;87;130;81;45;33;5;2;1203
120035;973;2;17;5;274;34;25;0;8;1;0;0;1;1340
120038;1336;51;37;26;59;117;26;35;25;19;19;61;9;1820
120039;628;3;4;8;57;35;5;2;1;2;0;0;0;745
120040;98316;3066;3588;5533;3216;3177;2327;2719;2775;2501;2939;2107;1659;133923
120042;841;8;8;18;9;92;8;5;10;8;2;1;1;1011
120043;247;3;1;0;2;0;0;0;0;0;0;0;0;253
120045;2003;94;118;48;62;124;68;64;80;82;48;61;16;2868
120050;1995;59;99;320;100;134;99;114;55;79;74;43;42;3213
120060;2160;33;21;42;36;125;55;63;51;49;29;28;31;2723
120070;809;16;55;22;20;35;21;72;38;20;9;32;11;1160
120080;1075;27;14;46;18;39;30;59;35;29;18;26;15;1431
129999;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130002;578;6;74;131;15;8;5;7;4;2;8;7;2;847
130006;537;5;3;6;1;7;18;3;6;8;2;5;2;603
130008;481;12;81;17;1;7;28;15;4;1;2;2;5;656
130010;617;12;5;174;22;32;5;1;3;0;1;1;0;873
130014;885;27;13;16;25;20;61;27;42;40;22;15;8;1201
130020;991;29;292;57;57;31;35;15;20;10;17;6;2;1562
130030;2277;20;19;193;45;33;30;41;44;37;39;34;21;2833
130040;798;136;14;301;33;28;13;18;77;39;25;15;5;1502
130050;1025;3;58;7;9;10;6;3;7;4;8;2;1;1143
130060;2256;31;74;195;18;16;12;24;121;175;29;25;4;2980
130063;1148;7;11;104;10;19;3;5;9;5;2;3;4;1330
130068;938;6;12;167;62;26;23;27;18;13;10;2;6;1310
130070;2134;92;59;233;82;97;39;44;34;41;39;41;57;2992
130080;1986;48;450;34;77;45;88;157;164;5;4;11;5;3074
130083;884;13;7;50;9;4;2;1;2;1;1;2;0;976
130090;490;23;2;10;3;13;7;6;2;1;2;0;3;562
130100;790;5;52;402;45;26;5;21;23;21;6;2;5;1403
130110;1275;113;41;216;13;47;36;56;33;22;16;10;14;1892
130115;968;1;13;41;22;8;139;105;0;2;81;18;6;1404
130120;6307;366;87;410;41;81;661;1083;208;106;69;46;87;9552
130130;978;24;26;140;13;3;12;7;34;3;13;10;11;1274
130140;1632;5;5;26;6;5;7;24;7;2;2;5;2;1728
130150;946;7;4;68;49;23;30;13;5;6;5;5;1;1162
130160;1738;4;5;60;42;8;10;9;12;4;4;5;2;1903
130165;636;6;1;0;37;4;8;1;7;4;0;0;0;704
130170;2790;206;131;561;62;78;202;127;123;97;78;111;62;4628
130180;341;1;1;2;0;3;0;2;0;1;0;0;0;351
130185;4525;351;173;510;264;100;94;63;56;61;62;41;39;6339
130190;9344;274;902;279;228;198;213;1078;678;338;227;223;169;14151
130195;485;16;35;58;46;90;29;48;11;4;6;2;3;833
130200;430;7;5;173;10;2;2;13;13;11;11;4;1;682
130210;601;2;1;81;22;4;3;2;9;3;0;1;4;733
130220;583;34;11;220;11;15;15;13;9;4;3;2;0;920
130230;753;17;0;42;3;1;5;1;1;0;3;0;0;826
130240;1487;40;128;168;69;247;32;33;47;42;11;41;8;2353
130250;5062;701;169;217;209;171;198;160;216;316;156;187;340;8102
130255;963;7;48;12;31;24;3;1;3;4;2;3;0;1101
130260;475918;16939;16663;15566;15987;14870;16817;17349;18433;15780;17418;16516;11637;669893
130270;1556;35;32;40;29;25;32;23;26;39;33;31;21;1922
130280;500;1;4;155;18;99;4;21;3;1;0;0;1;807
130290;3269;99;43;102;67;59;105;97;74;65;53;65;21;4119
130300;699;149;151;24;12;31;41;20;29;36;29;14;1;1236
130310;833;307;187;581;47;32;28;36;43;14;7;15;1;2131
130320;826;90;41;188;10;19;11;15;146;9;3;32;163;1553
130330;682;77;14;367;81;16;10;9;151;13;27;17;17;1481
130340;5483;363;159;981;501;201;204;162;217;109;71;152;86;8689
130350;980;0;4;0;5;0;3;3;0;2;2;2;1;1002
130353;5554;276;218;213;173;119;124;522;153;81;243;292;73;8041
130356;1736;102;30;182;23;52;23;50;32;29;30;27;25;2341
