Coluna;Mês Admissão
Município;Não admitido ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
110001;3076;92;131;111;95;99;207;133;131;118;87;63;58;4401
110002;18517;872;918;891;888;765;893;811;888;754;619;578;473;27867
110003;659;30;43;46;23;26;14;9;21;26;22;24;8;951
110004;17357;815;982;1020;723;752;894;817;814;721;632;539;567;26633
110005;2354;86;117;113;80;61;97;72;58;77;61;58;46;3280
110006;2220;112;88;85;72;73;93;89;82;69;55;64;67;3169
110007;1006;33;79;38;49;26;48;28;40;46;43;30;16;1482
110008;1008;45;57;30;40;44;46;33;13;15;21;8;17;1377
110009;4892;166;205;273;195;174;205;245;212;185;170;184;94;7200
110010;4092;114;113;123;94;97;98;83;99;68;96;89;63;5229
110011;9430;332;581;394;361;474;375;364;355;298;250;337;226;13777
110012;27326;1283;1194;1615;1104;1116;1154;1518;1161;934;857;844;802;40908
110013;3026;149;123;122;203;155;101;103;131;119;98;121;49;4500
110014;1587;45;36;54;60;58;72;87;58;63;56;40;22;2238
110015;5632;164;217;294;193;213;177;188;374;226;180;171;122;8151
110018;9302;382;487;333;425;348;335;392;419;268;310;323;171;13495
110020;173192;5000;4378;5002;4469;4668;4384;4464;4740;3854;3273;3462;2596;223482
110025;2484;82;79;89;61;73;106;135;85;73;58;68;34;3427
110026;614;26;27;32;26;21;23;33;28;20;26;17;12;905
110028;10087;364;471;491;586;449;476;354;442;420;532;363;320;15355
110029;1322;20;33;36;27;32;23;27;31;21;22;13;7;1614
110030;19289;965;971;1019;987;1151;1155;800;807;862;665;703;524;29898
110032;3079;105;104;151;81;100;102;85;74;73;71;79;60;4164
110033;1783;116;155;64;62;48;69;31;59;41;37;24;39;2528
110034;1321;40;58;32;44;32;50;39;31;37;26;21;10;1741
110037;1090;29;57;28;22;28;21;37;19;23;8;26;12;1400
110040;1496;69;78;56;98;51;62;47;63;51;42;27;17;2157
110045;3517;209;272;197;168;156;193;140;155;153;131;206;108;5605
110050;725;25;14;27;25;12;23;15;21;11;12;13;5;928
110060;616;24;19;24;14;16;15;6;14;14;10;7;7;786
110070;867;43;27;34;41;39;32;20;25;32;36;17;16;1229
110080;2125;91;69;114;148;79;94;116;128;87;89;53;32;3225
110090;463;15;23;8;28;15;12;7;11;13;5;5;5;610
