Coluna;Mês Desligamento
Município;Não desligado ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
110001;1950;49;73;63;67;39;42;63;63;49;46;33;85;2622
110002;11912;605;628;905;538;613;581;638;666;562;603;617;859;19727
110003;401;5;5;8;10;21;8;8;7;8;39;16;24;560
110004;10687;396;390;519;363;458;445;449;505;430;432;455;617;16146
110005;1458;58;45;47;44;32;43;48;34;49;43;41;50;1992
110006;1770;67;61;52;47;74;80;84;55;52;88;58;67;2555
110007;656;16;26;25;22;33;25;13;31;18;37;21;22;945
110008;580;100;17;38;20;27;26;41;20;7;15;26;164;1081
110009;2911;134;106;190;123;126;86;105;84;81;123;143;169;4381
110010;2685;57;44;78;58;59;53;46;57;52;64;48;72;3373
110011;6911;390;413;345;260;365;297;302;353;355;302;319;440;11052
110012;18276;668;659;897;469;706;832;756;814;638;724;822;882;27143
110013;2268;58;58;109;72;80;73;64;125;97;91;109;110;3314
110014;1057;17;22;41;19;20;18;30;9;16;23;14;26;1312
110015;3917;109;135;172;134;128;145;156;110;156;138;161;166;5627
110018;5638;252;256;290;230;238;300;213;241;229;227;261;323;8698
110020;111957;2016;2068;2740;1753;2297;2657;2649;2581;2400;2240;2511;3700;141569
110025;1618;67;46;63;56;66;62;81;64;71;49;107;64;2414
110026;297;4;3;10;4;4;8;11;8;5;2;5;16;377
110028;6102;187;534;231;111;233;260;214;275;291;267;279;363;9347
110029;871;10;38;21;22;17;18;61;53;123;54;58;57;1403
110030;12079;462;475;618;446;531;599;527;577;545;618;609;698;18784
110032;1157;35;47;53;18;34;77;46;21;28;67;40;43;1666
110033;1106;24;30;45;22;37;75;39;48;46;34;48;101;1655
110034;1084;25;22;38;28;31;19;21;21;51;24;57;21;1442
110037;625;17;7;17;17;13;8;8;13;5;11;14;11;766
110040;1077;25;18;34;13;40;33;40;33;33;47;33;27;1453
110045;2411;133;105;225;110;114;160;141;191;149;145;130;224;4238
110050;671;13;6;5;4;19;3;14;11;11;14;10;9;790
110060;353;4;4;16;2;10;3;14;8;7;11;10;11;453
110070;555;13;18;26;8;19;13;18;13;23;14;10;49;779
110080;993;47;23;30;19;20;49;33;25;30;28;21;39;1357
110090;323;0;7;5;8;7;14;3;6;9;2;2;8;394
110092;1333;53;43;89;79;79;65;79;89;92;66;117;83;2267
110094;1017;26;32;35;15;37;25;44;21;16;53;39;44;1404
110100;543;19;29;8;6;12;4;8;6;7;12;11;18;683
110110;384;47;15;54;15;12;21;41;16;9;13;18;14;659
110120;605;15;16;14;16;10;22;32;22;25;10;13;26;826
110130;799;19;21;30;25;27;13;17;17;13;24;18;17;1040
110140;945;17;17;34;32;46;82;135;39;37;31;32;30;1477
110143;357;0;4;8;9;13;5;7;2;4;3;1;5;418
110145;328;11;4;6;4;13;10;2;8;6;6;52;12;462
110146;292;9;29;16;9;84;7;26;49;21;83;27;38;690
110147;62;5;1;6;2;2;1;8;9;31;8;2;3;140
110148;304;3;0;7;7;5;4;1;2;4;2;5;12;356
110149;1080;82;29;58;24;38;35;74;83;105;52;53;50;1763
110150;652;13;15;21;12;11;17;19;12;10;22;12;13;829
110155;329;7;4;2;3;1;5;5;3;7;10;3;8;387
110160;597;11;4;18;13;8;11;9;10;8;2;6;60;757
110170;602;6;6;14;17;8;10;14;9;13;26;12;32;769
110175;418;13;8;5;10;8;2;9;3;2;1;4;7;490
110180;521;6;10;8;11;3;7;12;6;0;2;16;7;609
119999;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120001;568;13;7;19;7;35;19;15;21;10;15;11;28;768
120005;222;3;1;3;1;2;1;4;4;2;2;6;27;278
120010;792;14;11;16;11;17;7;13;20;14;15;44;64;1038
120013;546;14;7;9;10;6;12;20;14;17;31;13;22;721
120017;423;4;11;8;1;56;9;9;15;4;15;5;10;570
120020;3736;103;76;125;87;81;84;132;90;122;87;119;102;4944
120025;904;18;18;22;23;17;19;16;24;19;26;21;15;1142
120030;1015;15;10;15;10;11;6;15;13;5;10;8;21;1154
120032;1;0;0;0;0;1;0;0;0;0;0;0;0;2
120033;401;2;3;8;4;2;4;0;2;2;1;2;1;432
120034;179;0;0;5;1;0;1;0;0;1;0;0;0;187
120035;591;1;2;7;1;1;1;2;2;3;5;0;194;810
120038;332;6;3;10;10;13;10;12;17;8;4;10;19;454
120039;228;0;0;0;0;0;0;0;0;0;0;0;0;228
120040;69791;1607;1659;1445;1275;1791;1464;1618;1823;1441;1911;2111;5849;93785
120042;387;1;0;4;0;1;0;0;0;0;0;4;66;463
120043;83;0;0;0;0;0;0;0;0;0;0;6;0;89
120045;1730;32;27;26;27;25;35;40;21;26;83;18;41;2131
120050;1262;14;12;33;11;20;31;27;21;32;49;23;32;1567
120060;1265;5;8;15;18;7;20;16;16;14;11;21;95;1511
120070;767;14;3;18;11;15;35;16;17;33;18;23;16;986
120080;360;2;7;7;4;2;19;13;13;6;7;7;8;455
129999;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130002;28;0;0;0;1;0;0;0;2;1;0;0;0;32
130006;239;0;1;1;2;0;0;1;1;1;0;0;0;246
130008;10;0;0;0;0;0;0;0;0;0;0;0;0;10
130010;29;0;0;0;0;0;0;0;0;0;0;0;0;29
130014;580;4;7;6;5;4;4;6;2;4;4;2;3;631
130020;309;0;0;0;0;0;0;0;0;0;0;0;0;309
130030;374;1;0;2;0;2;1;2;1;1;0;1;0;385
130040;826;4;0;1;1;0;1;0;0;2;0;0;1;836
130050;694;3;0;2;0;1;1;0;0;0;0;1;0;702
130060;559;27;2;7;3;1;303;44;70;5;2;4;5;1032
130063;43;0;0;0;0;0;0;0;0;0;0;0;0;43
130068;252;0;0;1;1;2;1;0;0;1;1;0;0;259
130070;1282;7;4;4;13;6;8;3;16;18;16;10;7;1394
130080;973;3;3;1;0;0;0;0;0;0;1;0;0;981
130083;624;5;2;0;7;0;5;0;2;2;0;0;0;647
130090;20;0;0;0;0;0;0;0;0;0;0;0;0;20
130100;763;1;0;0;3;2;0;2;2;2;1;1;0;777
130110;1054;2;0;2;3;3;21;3;8;2;3;0;16;1117
130115;656;4;4;2;2;4;5;4;9;9;1;23;16;739
130120;5025;31;17;16;23;16;12;19;38;27;46;61;60;5391
130130;594;0;0;0;0;0;0;0;0;1;0;0;0;595
130140;839;5;1;2;4;2;0;6;0;2;1;2;3;867
130150;756;0;0;0;1;0;0;1;0;3;0;0;0;761
130160;595;0;0;0;0;0;0;0;0;0;0;0;2;597
130165;382;2;3;2;3;0;0;0;2;2;2;4;5;407
130170;1841;20;16;152;40;28;40;39;25;40;48;23;149;2461
130180;288;0;0;0;0;0;0;1;0;0;0;0;0;289
130185;2621;57;46;44;62;57;79;76;68;90;147;86;116;3549
130190;6665;313;154;184;138;109;138;153;194;93;207;310;149;8807
130195;175;0;0;0;0;3;0;0;0;0;0;0;0;178
130200;385;0;0;0;0;0;2;2;0;1;1;0;4;395
130210;393;1;1;2;0;10;2;7;3;0;2;0;0;421
130220;503;1;2;0;4;0;0;1;2;1;0;0;0;514
130230;34;0;0;0;0;3;25;4;2;28;1;52;5;154
130240;1061;3;2;21;2;11;13;6;6;9;4;9;12;1159
130250;2632;39;26;32;44;34;59;76;100;58;59;59;134;3352
130255;716;47;11;12;1;21;7;2;1;4;6;59;50;937
130260;381580;12956;11780;15541;12451;13366;14078;14288;15006;13185;14439;13349;19636;551655
130270;965;13;11;24;14;5;7;2;4;5;4;1;5;1060
130280;542;10;0;2;0;0;2;0;0;1;0;0;2;559
130290;2128;7;8;24;6;22;47;8;14;5;15;5;41;2330
130300;699;2;0;2;5;4;3;3;5;2;9;1;2;737
130310;737;3;1;1;4;3;5;2;5;3;5;3;267;1039
130320;560;2;1;9;2;6;3;2;3;1;3;5;8;605
130330;582;0;0;0;0;0;0;0;0;0;0;0;4;586
130340;4896;45;63;96;36;60;49;176;45;41;44;60;32;5643
130350;250;0;2;0;0;1;0;0;0;0;0;0;0;253
130353;3558;317;90;156;55;64;63;74;212;82;82;111;760;5624
130356;1339;30;16;23;12;15;15;29;17;19;22;23;39;1599
130360;204;1;0;0;1;0;0;1;0;0;0;1;0;208
130370;646;0;0;1;0;0;0;0;0;0;1;0;1;649
130380;1399;17;7;12;9;12;15;25;14;7;54;333;24;1928
130390;26;0;0;0;1;0;0;0;0;0;0;0;2;29
130395;188;0;1;1;0;0;0;0;0;0;0;1;2;193
