Coluna;Mês Desligamento
Município;Não desligado ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
110001;819;22;41;38;15;57;30;29;35;30;22;15;32;1185
110002;3741;179;169;179;168;250;189;196;235;187;160;192;153;5998
110003;220;4;1;4;0;3;2;0;5;0;0;1;3;243
110004;3931;174;133;230;203;200;234;188;244;191;195;165;381;6469
110005;644;8;15;18;17;22;28;16;11;13;13;13;18;836
110006;964;25;16;32;27;25;20;36;35;17;22;51;19;1289
110007;238;13;11;8;12;9;9;10;6;5;10;30;17;378
110008;209;0;2;3;2;4;4;0;4;0;4;2;6;240
110009;797;29;40;30;25;30;36;22;46;26;21;14;38;1154
110010;1562;28;17;37;32;38;31;30;43;27;50;33;34;1962
110011;2299;132;146;193;139;127;143;133;119;82;97;86;94;3790
110012;9219;460;505;516;418;481;485;555;456;416;425;446;399;14781
110013;362;7;3;15;7;3;10;10;4;7;6;10;65;509
110014;454;4;1;11;4;3;11;6;10;6;3;5;7;525
110015;1924;69;76;66;75;91;54;63;83;67;45;96;59;2768
110018;2362;94;169;174;119;151;162;179;166;136;128;125;229;4194
110020;79447;1113;1242;1409;1050;1173;1452;1259;1563;1184;1113;1182;1253;94440
110025;742;13;16;21;22;20;16;13;30;27;22;21;24;987
110026;103;2;1;2;4;7;3;4;1;5;6;2;6;146
110028;1883;51;56;91;66;56;54;52;104;69;75;69;65;2691
110029;209;9;5;19;7;2;9;10;26;7;8;7;22;340
110030;4296;288;250;336;287;277;280;285;340;297;228;208;240;7612
110032;289;3;2;3;0;3;1;4;2;4;1;2;4;318
110033;173;0;0;1;2;0;0;1;1;1;2;1;3;185
110034;353;13;5;6;8;7;7;8;6;6;3;6;7;435
110040;8;5;1;2;1;1;1;0;26;0;0;0;1;46
110050;89;7;6;4;0;1;1;2;1;1;0;0;0;112
110060;15;0;1;0;2;1;0;0;0;0;0;1;1;21
110070;79;4;4;5;3;10;5;11;8;13;4;5;12;163
110080;310;18;188;15;14;5;6;5;14;9;5;7;23;619
110090;125;0;0;0;0;0;0;1;0;2;2;0;0;130
110100;143;0;0;0;0;0;0;0;0;2;0;1;0;146
110110;247;2;8;12;4;11;5;5;10;4;6;7;12;333
110120;20;3;3;6;1;0;3;4;0;0;0;0;1;41
110130;77;3;3;0;1;4;4;2;3;0;0;0;0;97
110140;103;3;5;1;10;5;7;4;5;4;5;4;5;161
110150;65;0;1;4;1;1;0;1;1;0;4;3;1;82
110160;81;8;0;2;3;4;8;5;8;5;15;15;58;212
110170;195;30;3;4;1;8;23;2;4;1;6;2;6;285
110180;205;1;4;9;4;7;8;1;5;0;2;2;6;254
119999;38;1;1;0;1;0;1;0;0;0;1;0;3;46
120001;86;0;2;3;2;1;1;3;1;1;0;0;13;113
120005;5;0;0;0;0;0;0;0;0;0;0;0;2;7
120010;273;5;1;6;13;4;6;115;4;9;3;2;7;448
120013;226;3;1;7;16;19;0;3;4;0;1;5;19;304
120017;7;0;1;6;0;0;0;0;0;1;1;0;0;16
120020;1743;24;20;46;42;25;20;14;31;21;32;25;28;2071
120025;111;1;2;0;1;1;2;14;4;0;1;0;2;139
120030;240;1;0;0;0;11;2;0;0;2;0;0;1;257
120033;17;0;0;1;0;0;0;0;1;0;0;0;1;20
120034;74;0;0;1;1;1;1;0;0;1;0;0;0;79
120035;92;0;0;0;0;0;0;0;0;0;0;0;0;92
120038;312;0;0;1;7;0;0;2;2;2;1;0;7;334
120039;102;0;0;0;4;1;0;0;0;3;10;0;8;128
120040;43238;679;993;924;661;778;772;726;738;746;701;682;923;52561
120042;67;0;0;0;0;0;1;0;0;0;0;0;0;68
120043;51;0;0;0;0;0;0;0;0;0;0;0;0;51
120045;336;0;2;3;10;4;5;10;2;9;9;10;5;405
120050;413;11;0;0;2;3;0;1;1;1;2;1;2;437
120060;226;3;11;5;8;6;4;6;4;1;5;1;8;288
120070;479;3;6;5;8;1;0;6;6;3;1;1;8;527
120080;58;0;0;1;0;4;2;2;0;1;3;2;0;73
130002;10;0;0;0;0;0;0;0;0;0;0;0;0;10
130006;10;0;0;0;0;0;0;1;0;0;0;0;0;11
130008;9;0;0;0;0;0;0;0;0;1;0;0;0;10
130010;50;0;2;0;2;1;1;1;1;0;1;0;0;59
130014;10;0;0;0;0;0;0;0;0;0;0;0;0;10
130020;22;0;0;1;0;0;0;0;0;0;0;0;0;23
130030;122;1;2;1;0;0;1;0;2;1;0;0;5;135
130040;302;0;1;2;5;2;3;2;5;3;0;6;7;338
130050;15;0;0;0;0;0;0;0;0;0;0;0;0;15
130060;187;1;1;0;1;0;0;0;0;1;3;3;0;197
130063;11;0;0;0;1;0;0;0;0;0;0;1;1;14
130068;92;0;1;0;0;2;0;0;0;0;1;0;1;97
130070;268;0;2;0;5;1;0;1;1;0;0;2;3;283
130080;207;0;0;0;3;0;0;0;0;0;0;0;0;210
130083;6;0;0;0;0;0;0;0;0;0;0;0;0;6
130090;10;0;0;0;0;0;0;0;0;0;0;0;0;10
130100;64;1;1;0;1;0;0;2;4;0;0;1;1;75
130110;196;11;4;5;2;2;4;16;1;1;3;0;1;246
130115;67;1;0;0;0;0;0;1;0;0;2;1;0;72
130120;1495;28;27;50;27;20;15;14;14;30;27;27;22;1796
130130;20;0;0;0;0;0;0;0;0;0;0;0;0;20
130140;138;1;0;3;3;4;0;0;1;1;0;0;5;156
130150;45;0;0;0;0;1;3;0;0;0;0;0;1;50
130160;15;0;0;0;0;0;0;0;0;0;0;0;0;15
130165;25;0;0;0;2;0;0;0;0;0;0;0;0;27
130170;658;9;6;16;10;6;4;7;8;9;15;11;15;774
130180;117;0;0;0;0;0;0;0;0;0;0;0;0;117
130185;524;18;272;35;52;26;42;10;16;17;18;36;24;1090
130190;4336;130;136;121;73;123;145;153;120;107;135;186;79;5844
130195;117;0;0;0;0;0;0;0;0;0;0;0;0;117
130200;76;1;0;0;0;0;0;0;0;0;0;0;1;78
130210;15;0;0;0;0;0;0;0;0;0;0;0;0;15
130220;5;0;0;0;0;0;0;1;0;0;0;0;0;6
130230;28;0;1;2;1;2;0;0;1;1;0;1;0;37
130240;209;2;3;2;4;4;5;7;1;2;2;1;0;242
130250;585;14;19;30;18;15;45;32;18;21;14;111;35;957
130255;393;24;23;21;12;23;16;18;17;14;43;13;11;628
130260;221810;6703;6043;6908;6708;6577;7404;6376;6619;6254;6780;6050;6465;300697
130270;620;6;15;6;3;7;6;11;6;3;3;3;7;696
130280;7;0;0;0;0;0;0;0;0;0;1;0;0;8
130290;624;29;15;6;6;7;3;6;6;2;3;9;2;718
130300;191;0;0;0;0;0;0;0;0;0;0;0;0;191
130310;200;2;0;1;1;2;1;0;1;0;0;8;4;220
130320;120;4;1;2;2;7;1;6;2;4;0;1;1;151
130330;13;0;0;0;0;0;0;0;0;0;0;0;0;13
130340;655;15;15;35;17;20;50;30;22;15;9;14;17;914
130350;108;0;0;0;0;0;0;0;0;0;0;1;0;109
130353;2358;68;50;65;29;51;79;55;97;94;135;255;200;3536
130356;256;7;20;11;11;5;5;2;9;3;5;8;15;357
130360;15;0;0;0;0;0;0;0;0;0;0;0;1;16
130370;17;0;0;0;0;0;0;0;0;0;0;0;0;17
130380;70;1;0;1;2;1;1;0;6;0;1;3;0;86
130390;36;2;0;0;0;0;0;0;1;3;0;0;0;42
130395;13;0;0;0;0;0;0;0;0;0;0;0;1;14
130400;31;7;16;4;8;0;0;0;0;0;0;1;1;68
130406;266;9;8;9;7;14;5;7;7;1;7;5;5;350
130410;9;0;0;0;0;0;0;0;0;0;0;0;0;9
130420;952;23;26;53;37;38;33;36;38;54;75;73;18;1456
130423;8;0;0;0;0;0;0;0;0;0;0;0;0;8
130426;6;0;0;0;0;0;0;0;0;0;0;0;1;7
130430;149;4;1;6;3;8;2;4;1;1;0;0;0;179
130440;260;0;1;0;2;3;1;0;0;1;0;0;0;268
140005;7;0;0;0;0;0;0;5;0;0;0;0;0;12
140010;21187;446;489;558;465;497;519;500;483;514;477;438;490;27063
