Coluna;Mês Desligamento
Município;Não desligado ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
110002;2453;106;80;118;66;96;161;377;159;154;135;164;220;4289
110004;2933;73;105;162;138;133;252;229;306;257;198;160;273;5219
110006;339;6;5;9;7;10;13;13;19;17;20;17;49;524
110008;64;0;1;2;3;0;4;4;3;1;6;5;2;95
110009;79;1;3;7;1;1;3;6;6;3;4;2;2;118
110010;1445;30;27;47;35;42;43;42;42;40;46;61;59;1959
110011;446;10;10;12;15;8;20;15;20;14;26;19;46;661
110012;5846;159;241;335;218;241;270;281;322;339;284;299;397;9232
110015;403;9;11;12;18;16;12;21;16;18;16;19;25;596
110018;1312;81;63;112;108;67;95;130;156;145;137;122;97;2625
110020;62901;2023;1672;2145;1986;2036;1897;2260;2123;1646;1740;1932;2420;86781
110025;162;1;1;3;7;7;4;3;7;5;5;2;12;219
110030;3360;139;166;250;201;152;195;218;276;242;251;203;303;5956
120005;16;0;0;0;0;0;0;1;0;0;0;0;0;17
120010;273;2;0;2;3;9;1;3;3;2;1;0;4;303
120020;1142;13;10;8;27;83;7;35;47;52;48;36;24;1532
120030;144;0;0;0;0;0;0;0;0;0;0;0;0;144
120033;13;0;0;0;0;0;0;0;0;1;1;0;1;16
120034;20;0;0;0;0;0;0;1;0;0;0;0;0;21
120038;27;0;0;0;1;1;0;0;0;0;0;0;1;30
120040;32262;608;379;538;369;398;373;513;516;468;408;414;501;37747
120045;47;1;1;1;0;1;0;2;0;1;5;1;2;62
120050;343;5;1;6;5;2;2;6;5;8;0;5;35;423
120060;128;1;0;0;1;0;0;0;3;2;0;0;0;135
120070;138;0;0;1;0;1;0;0;1;2;0;3;0;146
130010;157;0;0;0;0;0;2;0;1;0;0;0;2;162
130020;50;0;0;1;0;0;2;0;1;1;6;0;0;61
130030;98;0;0;1;0;1;0;2;0;1;0;1;0;104
130040;28;0;1;0;1;0;0;1;0;0;0;1;0;32
130050;289;0;1;0;0;0;0;2;0;0;2;0;1;295
130060;713;7;10;15;3;14;22;17;18;6;8;6;15;854
130070;388;4;2;3;2;2;2;2;2;1;2;1;5;416
130080;542;4;4;21;54;11;20;6;8;23;4;8;2;707
130090;9;0;0;0;0;0;0;0;0;0;0;0;0;9
130100;240;1;4;1;4;2;1;0;4;0;5;2;1;265
130110;213;2;15;16;10;11;12;15;17;17;5;9;17;359
130120;517;4;1;2;1;3;4;3;2;2;4;2;5;550
130130;247;1;1;1;0;0;0;2;2;47;7;3;1;312
130140;738;60;14;54;19;29;26;32;41;14;36;18;30;1111
130150;5;0;0;0;0;0;0;0;0;0;0;0;0;5
130160;22;0;0;1;0;0;0;0;0;0;0;0;0;23
130170;829;12;22;29;18;26;47;30;31;27;29;45;32;1177
130180;74;0;1;0;0;0;0;0;1;0;0;0;0;76
130190;3301;162;208;141;172;200;83;166;210;156;156;113;130;5198
130200;7;0;0;0;0;0;0;0;0;0;0;0;0;7
130210;16;0;0;0;0;0;0;0;1;0;0;0;0;17
130220;9;0;0;0;0;0;0;0;0;0;0;1;0;10
130230;11;0;1;0;0;0;0;0;0;0;1;2;0;15
