Coluna;Mês Desligamento
Município;Não desligado ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
110001;2224;115;72;83;84;81;79;77;89;83;80;83;116;3266
110002;15379;868;736;936;804;838;724;826;849;878;821;814;1186;25659
110003;490;6;11;11;15;17;12;7;7;13;8;8;11;616
110004;13039;619;496;573;511;647;629;697;606;618;601;772;758;20566
110005;1739;45;70;70;44;83;88;56;51;59;56;100;101;2562
110006;2052;90;53;90;84;82;71;91;69;76;87;70;106;3021
110007;795;27;28;20;28;31;30;42;27;37;34;27;49;1175
110008;889;30;43;25;10;16;37;13;22;24;19;17;69;1214
110009;3750;217;120;169;136;155;150;150;155;139;136;203;345;5825
110010;3312;79;64;95;75;80;73;102;89;101;88;60;101;4319
110011;7466;533;276;328;296;333;323;335;353;311;403;411;405;11773
110012;22239;941;819;840;856;912;830;1022;1080;1046;994;960;1317;33856
110013;2292;117;81;78;83;69;109;90;81;102;95;110;139;3446
110014;1302;59;31;49;35;40;28;39;29;31;45;42;105;1835
110015;3652;153;161;166;173;179;169;309;302;182;218;200;254;6118
110018;7498;282;302;421;337;353;403;453;399;437;600;430;462;12377
110020;155800;3417;3511;4206;7048;4679;4938;5245;5535;5522;5359;5680;7131;218071
110025;1970;88;50;65;71;44;52;82;91;64;76;69;119;2841
110026;367;7;12;8;4;9;9;12;5;10;9;13;13;478
110028;7108;363;382;509;386;463;444;505;466;656;434;421;600;12737
110029;1068;24;26;30;22;27;24;47;31;96;41;61;58;1555
110030;14541;656;692;700;813;734;699;868;746;841;695;840;801;23626
110032;1850;40;49;51;64;59;96;79;83;89;77;69;111;2717
110033;1524;34;25;39;60;43;28;32;38;50;106;37;56;2072
110034;1341;36;29;41;46;37;120;61;78;126;51;107;369;2442
110037;767;29;11;15;18;12;19;18;29;18;15;11;26;988
110040;1266;26;39;53;36;39;43;60;47;43;58;40;102;1852
110045;3036;99;131;149;138;219;135;162;110;92;159;203;222;4855
110050;652;13;11;16;4;9;10;11;18;7;6;7;17;781
110060;391;18;13;12;7;14;5;21;8;8;5;12;10;524
110070;624;14;9;14;16;17;22;7;14;20;8;11;53;829
110080;1332;32;41;61;51;55;44;44;40;40;44;54;73;1911
110090;392;4;6;5;9;8;9;12;5;11;0;5;10;476
110092;1873;72;111;87;122;124;93;103;96;104;106;96;122;3109
110094;1347;66;143;116;50;83;65;84;86;86;116;109;107;2458
110100;553;3;5;7;4;10;9;10;10;7;3;10;6;637
110110;910;13;45;55;20;14;51;35;20;25;25;15;103;1331
110120;751;9;16;24;17;13;45;19;38;13;16;9;16;986
110130;1060;42;26;22;18;26;19;36;33;23;22;32;32;1391
110140;1136;118;74;31;30;26;35;33;35;37;36;35;47;1673
110143;434;9;3;7;7;5;13;5;3;4;3;6;5;504
110145;433;12;5;13;11;13;7;7;8;13;21;40;35;618
