Coluna;Mês Desligamento
Município;Não desligado ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
110001;965;56;21;41;25;26;26;34;32;33;25;26;41;1351
110002;6374;213;250;286;236;241;298;288;279;313;259;298;337;9672
110003;261;2;3;7;2;6;2;3;7;9;4;5;5;316
110004;6288;313;254;269;283;278;344;324;330;311;339;405;374;10112
110005;1015;24;32;19;52;31;20;23;48;35;50;30;73;1452
110006;936;35;23;37;25;27;27;26;25;39;28;22;196;1446
110007;308;29;4;1;8;11;13;12;8;10;5;8;15;432
110008;313;3;8;5;1;20;1;6;7;3;5;1;6;379
110009;1417;42;28;53;62;65;70;68;60;51;41;53;118;2128
110010;1690;39;142;72;27;35;39;36;39;34;28;32;35;2248
110011;3485;180;138;151;152;119;193;173;153;143;168;166;204;5425
110012;11731;272;370;526;403;384;493;523;535;505;490;462;570;17264
110013;663;1;5;7;8;4;3;4;11;13;19;30;19;787
110014;549;17;6;7;21;3;10;4;6;6;10;8;12;659
110015;2379;57;114;162;72;74;67;104;105;100;76;144;104;3558
110018;3249;103;122;152;130;168;120;112;139;136;150;200;187;4968
110020;83415;1151;1318;1399;1158;1086;1476;1343;1373;1394;1333;1309;1496;99251
110025;988;23;41;35;17;29;29;33;22;25;27;40;25;1334
110026;131;0;0;0;0;0;0;1;0;2;3;9;40;186
110028;3113;89;126;207;103;106;123;95;139;128;115;179;373;4896
110029;418;6;13;10;22;7;15;12;10;3;8;7;13;544
110030;6255;208;274;255;283;302;232;421;238;255;255;313;263;9554
110032;613;4;10;6;2;15;9;9;17;22;24;14;17;762
110033;469;0;3;2;2;2;7;0;3;23;4;5;20;540
110034;748;8;15;13;13;13;10;24;18;19;6;15;38;940
110037;163;1;6;1;0;5;6;2;1;0;1;3;1;190
110040;223;0;4;7;12;18;8;15;7;7;8;3;175;487
110045;457;5;5;23;20;24;24;33;49;43;32;53;103;871
110050;219;2;1;3;9;2;0;1;1;4;0;1;1;244
110060;178;3;1;3;1;1;2;4;10;8;3;1;1;216
110070;251;3;3;8;11;6;6;5;9;8;5;9;23;347
110080;291;6;6;6;15;17;6;8;8;12;13;11;12;411
110090;139;2;6;3;2;6;4;2;2;1;4;5;0;176
110092;434;13;21;9;12;9;7;16;55;18;18;13;21;646
110094;249;19;8;23;18;19;23;15;19;12;19;16;45;485
110100;244;20;2;4;4;0;3;2;0;2;5;1;7;294
110110;361;7;12;8;9;3;3;11;1;7;5;5;6;438
110120;261;2;4;0;4;0;1;1;2;1;3;3;0;282
110130;471;10;5;10;10;7;11;6;6;9;17;7;13;582
110140;501;3;7;14;7;13;14;15;25;9;15;18;18;659
110143;130;0;3;1;4;5;0;5;2;2;16;14;2;184
110145;126;0;0;0;0;0;0;0;0;0;0;0;0;126
110146;104;1;1;3;0;1;2;2;4;3;1;0;2;124
110147;92;0;5;3;0;2;0;2;3;3;1;16;9;136
110148;98;0;1;1;4;0;0;0;0;0;1;0;0;105
110149;340;5;6;6;5;7;2;30;21;31;30;47;95;625
110150;269;6;0;4;2;7;3;3;4;7;6;5;26;342
110155;46;1;7;7;4;1;1;3;11;8;1;0;2;92
110160;242;8;23;8;6;7;8;9;9;8;21;9;66;424
110170;384;2;5;3;4;5;1;6;2;4;3;10;4;433
110175;198;19;14;5;7;4;4;5;4;3;16;6;1;286
110180;216;2;5;4;7;4;1;5;2;0;1;2;20;269
120001;172;1;2;1;4;0;2;1;1;0;2;4;4;194
120005;98;0;0;0;0;0;0;0;0;0;0;0;0;98
120010;372;6;18;10;5;6;14;3;1;5;5;6;9;460
120013;234;2;5;3;4;7;4;4;14;10;9;41;15;352
120017;95;0;0;0;0;0;0;0;0;0;0;1;0;96
120020;2051;24;33;50;42;33;28;22;36;45;42;59;58;2523
120025;206;1;0;4;0;0;5;0;2;5;3;3;4;233
120030;67;1;0;0;1;1;1;1;0;1;0;2;1;76
120032;72;0;0;0;0;0;0;0;0;0;0;0;0;72
120033;186;0;0;0;0;0;1;0;0;0;1;0;0;188
120034;65;0;0;0;0;0;0;0;0;1;0;0;0;66
120035;5;0;0;0;0;0;0;0;0;0;0;0;0;5
120038;368;2;2;0;1;0;3;2;12;10;5;11;4;420
120039;94;0;0;0;0;0;0;0;0;0;0;0;0;94
120040;51851;627;791;661;658;641;713;595;743;740;746;898;955;60619
120042;146;0;0;0;0;0;0;0;0;0;0;0;0;146
120043;1;0;0;0;0;0;0;0;0;0;0;0;0;1
120045;438;2;2;8;5;5;4;5;9;9;11;5;7;510
120050;604;2;3;2;4;8;6;2;9;10;10;3;8;671
120060;533;7;2;7;5;5;11;10;4;18;14;5;5;626
