Coluna;Mês Desligamento
Município;Não desligado ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
110001;936;6;27;63;29;12;36;22;43;45;53;26;90;1388
110002;5403;179;195;235;190;211;167;189;224;194;232;220;235;7874
110003;215;0;0;0;1;1;1;1;4;3;4;0;4;234
110004;5702;174;198;259;204;201;194;233;209;261;268;319;386;8608
110005;783;31;19;40;58;17;19;17;13;24;23;33;118;1195
110006;1072;11;23;24;36;34;29;38;75;32;33;33;128;1568
110007;187;14;7;9;5;6;9;5;9;4;7;4;124;390
110008;275;10;26;5;1;2;12;12;3;7;9;7;80;449
110009;1195;17;35;39;58;29;44;44;47;50;49;85;116;1808
110010;1628;32;27;39;45;57;52;32;36;46;37;37;141;2209
110011;3163;106;120;139;130;135;118;122;133;153;117;147;148;4731
110012;9951;341;381;395;412;389;387;502;415;583;391;546;574;15267
110013;443;4;7;14;21;11;8;8;8;10;3;4;6;547
110014;420;8;6;1;10;9;2;11;6;41;9;4;8;535
110015;2348;81;71;75;97;60;78;71;115;85;82;159;176;3498
110018;3295;119;115;116;113;149;159;135;130;163;176;174;309;5153
110020;79095;1035;1035;1205;1365;1305;1320;1432;1340;1495;1471;1440;2558;96096
110025;928;15;22;20;15;26;41;65;18;39;23;8;28;1248
110026;66;0;1;1;0;3;0;1;1;0;1;6;32;112
110028;2588;78;46;58;80;77;56;81;125;160;145;117;213;3824
110029;388;2;3;6;9;3;8;9;13;19;9;14;103;586
110030;5824;222;252;264;250;215;252;255;267;250;239;333;302;8925
110032;479;3;0;2;3;0;7;1;1;19;24;25;34;598
110033;298;1;2;1;1;6;6;3;5;1;2;3;3;332
110034;763;6;13;9;6;8;7;16;13;44;14;8;24;931
110040;217;0;0;2;3;2;3;8;1;12;9;12;114;383
110050;114;6;2;0;2;1;1;0;0;1;1;0;0;128
110060;54;2;2;2;1;0;0;1;1;2;0;1;0;66
110070;362;4;4;11;11;22;15;9;12;14;53;56;44;617
110080;265;16;5;13;8;5;15;10;6;9;12;4;6;374
110090;120;5;5;6;6;6;13;5;2;6;13;6;2;195
110100;158;0;0;3;0;0;1;3;0;2;3;0;0;170
110110;172;1;5;11;3;8;5;13;6;8;9;9;101;351
110120;194;0;34;0;2;2;1;1;3;1;1;0;0;239
110130;277;7;8;6;2;6;5;5;13;47;17;11;21;425
110140;253;1;0;1;0;0;1;0;2;16;17;29;2;322
110150;131;4;4;2;1;22;1;2;1;1;7;4;94;274
110160;169;5;0;1;21;5;12;15;11;13;23;15;60;350
110170;224;2;9;4;4;3;1;0;1;1;1;1;0;251
110180;181;11;6;6;15;6;3;6;2;10;2;1;2;251
119999;438;1;0;3;5;13;10;9;12;14;38;9;258;810
120001;75;3;2;5;1;1;3;22;3;2;1;3;56;177
120005;106;0;0;0;0;0;7;2;0;0;1;1;16;133
120010;318;3;7;7;4;4;6;6;1;2;7;4;1;370
120013;201;0;1;0;2;0;1;3;11;2;1;0;25;247
120017;100;0;0;0;1;3;0;4;1;1;2;0;3;115
120020;1845;45;42;32;59;28;32;20;39;25;41;24;44;2276
120025;159;9;0;1;1;2;0;0;3;0;2;1;0;178
120030;332;1;1;2;0;2;11;0;1;3;0;0;1;354
120032;76;1;0;0;0;0;0;0;0;0;0;0;0;77
120033;120;0;1;0;0;4;0;1;0;2;2;0;0;130
120034;71;0;0;0;0;0;1;2;2;7;0;0;3;86
120035;92;0;0;0;0;0;0;0;1;0;0;0;0;93
120038;231;0;2;2;1;7;2;2;2;5;1;2;3;260
120039;106;0;0;0;0;0;0;0;0;0;0;0;1;107
120040;49008;647;527;615;625;628;688;1244;807;866;754;707;884;58000
120042;69;0;0;0;0;0;0;1;0;0;0;1;0;71
120043;446;219;18;13;16;15;14;20;8;9;11;14;8;811
120045;341;11;12;9;14;12;6;33;7;6;46;3;4;504
120050;496;2;1;0;3;4;6;5;3;6;2;6;4;538
120060;563;2;7;7;2;2;124;10;15;50;42;2;9;835
120070;339;12;1;2;0;4;0;2;2;4;3;0;0;369
120080;123;0;0;0;0;1;0;3;4;2;0;4;1;138
130002;12;0;0;0;0;0;0;0;0;0;0;0;0;12
130006;8;0;0;0;0;0;0;0;0;0;0;0;0;8
130008;9;0;0;0;0;0;0;0;0;0;0;0;0;9
130010;29;0;0;0;0;0;0;0;0;2;0;0;0;31
130014;191;5;0;0;0;0;0;0;0;1;0;0;1;198
130020;24;0;0;0;0;0;0;0;0;0;0;0;0;24
130030;97;0;1;2;0;1;0;0;17;1;0;1;0;120
130040;22;0;1;0;0;0;0;0;0;0;0;1;0;24
130050;63;0;0;0;0;0;0;0;0;0;2;0;0;65
130060;146;0;1;0;1;2;1;2;5;3;1;1;0;163
130063;11;0;0;0;0;0;0;0;0;1;0;0;0;12
130068;77;0;0;0;0;0;0;0;0;0;1;0;0;78
130070;236;0;0;1;1;0;1;3;0;1;0;1;0;244
130080;142;13;6;2;1;4;3;4;0;0;0;0;19;194
130083;93;0;0;2;2;2;2;1;2;1;0;0;1;106
130090;243;15;12;7;14;14;13;10;8;15;10;4;5;370
130100;221;0;0;0;0;0;0;2;0;2;0;0;1;226
130110;272;3;1;1;2;4;3;0;3;1;17;4;2;313
130115;11;0;0;0;0;1;0;0;3;0;0;0;0;15
130120;1638;21;26;24;30;19;29;667;35;41;72;152;328;3082
130130;29;0;0;0;0;0;0;0;0;0;0;0;0;29
130140;132;1;0;1;1;0;1;1;2;0;0;0;0;139
130150;41;0;0;0;0;0;0;0;0;0;0;0;5;46
130160;15;0;0;0;0;1;0;0;0;0;0;0;0;16
130165;15;1;0;0;0;0;2;1;0;1;0;1;0;21
130170;878;12;8;7;8;5;7;6;9;423;9;33;35;1440
130180;135;0;0;0;0;0;0;0;0;0;0;0;0;135
130185;637;16;11;96;9;13;10;13;10;16;53;47;29;960
130190;4493;165;339;148;115;200;91;147;106;141;104;119;95;6263
130195;17;0;0;0;0;1;0;2;1;0;2;0;0;23
130200;168;0;0;0;0;0;0;1;1;0;1;0;1;172
130210;3;0;0;0;0;0;0;0;0;0;0;0;0;3
130220;6;0;0;0;0;0;0;0;1;0;0;0;0;7
130230;73;3;1;3;2;3;1;3;1;1;2;13;3;109
130240;171;43;2;0;1;0;1;1;0;1;0;0;2;222
130250;786;5;11;13;18;8;18;39;21;51;121;32;34;1157
130255;15;1;0;0;2;0;1;0;0;1;0;0;0;20
130260;215422;5234;5662;7441;6716;6516;6378;7238;6524;7028;7912;6990;7940;297001
130270;339;5;10;1;5;4;5;2;9;144;9;37;84;654
130280;16;0;0;0;0;1;0;0;0;0;0;0;0;17
130290;746;7;1;5;1;1;7;1;2;12;5;2;17;807
130300;195;1;0;1;0;1;1;0;0;0;1;0;0;200
130310;309;27;4;9;1;2;0;3;0;0;1;0;2;358
130320;33;2;1;1;0;1;0;2;0;0;2;0;0;42
130330;58;0;0;0;0;0;0;0;0;0;0;0;0;58
130340;667;13;7;11;3;10;14;39;26;16;49;15;68;938
130350;138;0;0;1;0;0;0;0;0;0;0;0;0;139
130353;2107;87;53;53;68;73;91;45;40;65;344;179;55;3260
130356;288;3;2;3;2;2;2;4;4;5;2;5;7;329
130360;18;0;0;0;0;0;0;0;0;0;0;1;0;19
130370;20;0;0;0;0;0;0;0;0;0;0;0;0;20
130380;221;1;0;2;1;1;1;1;1;5;1;1;3;239
130390;29;1;0;0;0;0;0;0;0;0;0;0;0;30
130395;19;0;0;0;1;0;0;1;0;0;0;0;0;21
130400;35;1;1;0;1;0;0;0;2;0;0;0;0;40
130406;241;2;7;11;6;5;3;3;6;7;4;7;12;314
