Coluna;Mês Desligamento
Município;Não desligado ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
110001;1610;62;53;53;77;54;37;52;66;38;74;50;194;2420
110002;10291;418;530;464;415;593;512;579;526;495;544;599;752;16718
110003;367;9;16;11;9;10;29;11;9;7;8;9;34;529
110004;9381;392;386;477;476;432;660;879;494;586;550;473;496;15682
110005;1335;83;52;66;69;59;49;43;62;63;47;52;103;2083
110006;1562;74;79;60;111;90;75;76;66;72;83;86;101;2535
110007;558;15;57;31;33;13;22;28;30;28;36;43;60;954
110008;564;16;27;12;6;7;19;7;20;16;5;38;70;807
110009;2980;92;109;138;150;130;139;135;157;143;163;182;187;4705
110010;2838;85;59;41;48;32;45;69;47;38;84;98;99;3583
110011;6091;258;250;349;259;265;259;305;246;236;253;271;390;9432
110012;15820;695;704;746;585;790;920;865;949;934;951;727;1204;25890
110013;1746;38;137;102;85;63;75;81;57;115;61;137;158;2855
110014;992;45;15;14;17;19;9;22;24;29;26;26;33;1271
110015;3456;120;118;195;136;136;127;152;134;156;126;117;154;5127
110018;5160;192;188;273;244;239;255;420;222;238;245;257;310;8243
110020;101520;3285;1890;2745;1783;2068;1965;3273;1991;1982;2233;2207;2775;129717
110025;1436;34;46;46;41;32;57;43;48;73;46;34;40;1976
110026;277;0;2;1;1;1;2;4;3;6;3;5;10;315
110028;4955;170;172;306;154;181;191;235;248;193;229;210;568;7812
110029;749;13;17;21;23;42;17;16;15;19;25;30;31;1018
110030;10290;468;482;597;560;601;530;1131;596;613;519;538;612;17537
110032;1105;18;32;23;27;21;19;36;20;29;37;24;79;1470
110033;1012;5;15;14;33;29;51;50;39;35;38;38;75;1434
110034;1096;21;26;46;27;17;21;32;24;31;32;19;43;1435
110037;512;14;11;39;10;7;10;13;11;17;8;13;25;690
110040;740;16;24;27;26;26;28;35;28;31;31;39;79;1130
110045;1869;103;121;102;113;101;118;138;116;84;208;119;126;3318
110050;438;11;4;13;3;8;6;16;16;10;7;14;3;549
110060;312;12;8;18;7;9;10;4;3;4;9;12;10;418
110070;307;7;12;36;10;7;8;16;10;9;10;10;28;470
110080;792;11;12;21;24;20;38;37;25;21;111;35;55;1202
110090;249;7;3;3;5;3;3;2;3;8;13;9;21;329
