Coluna;Mês Desligamento
Município;Não desligado ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
110001;2917;106;92;109;74;121;102;112;119;119;100;100;161;4232
110002;18761;1142;1181;1150;971;1024;1243;968;1098;927;915;938;668;30986
110003;684;28;25;17;23;19;17;29;21;14;26;27;52;982
110004;17610;896;967;995;924;1049;925;1032;1008;949;1138;1332;1006;29831
110005;2458;99;104;112;114;104;87;103;88;84;85;89;61;3588
110006;2185;77;98;118;111;71;78;69;97;78;95;123;99;3299
110007;1125;46;45;59;60;39;43;49;57;31;39;32;41;1666
110008;1148;25;41;28;19;31;44;26;33;51;176;30;44;1696
110009;5025;235;234;208;179;177;157;215;170;168;185;198;171;7322
110010;4142;188;139;137;148;131;122;123;145;112;140;123;132;5782
110011;9543;491;440;481;391;364;386;396;312;365;419;383;367;14338
110012;27695;1130;1230;1341;1324;1194;1293;1194;1173;1176;1321;1187;1091;42349
110013;3038;114;129;115;125;119;140;128;123;129;122;141;109;4532
110014;1617;48;58;41;68;57;80;56;44;60;60;73;116;2378
110015;5761;353;267;226;210;234;230;237;215;200;185;212;170;8500
110018;9478;439;476;479;421;393;383;457;474;454;448;511;382;14795
110020;174539;7603;7205;5855;6574;6489;6281;6551;6174;5866;6125;6849;5896;252007
110025;2656;100;101;87;74;72;71;78;109;75;73;87;58;3641
110026;620;29;20;24;19;25;17;21;30;23;18;34;29;909
110028;10224;454;628;494;503;479;467;682;922;549;817;633;406;17258
110029;1349;29;29;52;45;27;33;38;44;29;32;30;28;1765
110030;19696;1063;1073;1209;916;1209;1218;1085;1041;1030;919;951;815;32225
110032;3112;94;96;103;86;106;97;109;126;124;95;105;98;4351
110033;1844;49;65;73;44;59;56;72;45;110;79;103;173;2772
110034;1383;48;32;27;45;38;49;39;44;28;59;34;52;1878
110037;922;13;12;19;15;17;27;22;19;20;12;13;23;1134
110040;1515;64;35;64;56;62;93;75;55;53;67;67;101;2307
110045;3880;190;216;218;231;236;380;238;213;267;361;232;283;6945
