Coluna;Mês Admissão
Município;Não admitido ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
110001;3240;130;206;144;102;151;144;159;145;150;133;116;75;4895
110002;21375;1000;1653;1195;1010;1091;1061;1055;1094;1050;991;1207;660;34442
110003;900;20;52;31;22;34;20;13;22;20;24;19;14;1191
110004;19861;1034;1003;1232;1036;1274;1371;1178;1145;997;1170;998;807;33106
110005;2938;259;160;125;129;145;176;147;149;156;112;134;96;4726
110006;2738;81;107;103;106;102;94;92;126;101;96;64;49;3859
110007;1686;196;185;90;90;97;118;108;88;147;147;94;63;3109
110008;1163;62;175;52;27;41;26;29;33;24;36;21;17;1706
110009;5678;240;311;315;257;266;225;314;332;243;250;220;203;8854
110010;4686;216;179;194;125;168;188;178;273;260;363;183;123;7136
110011;11310;565;548;600;499;560;532;561;613;557;556;630;434;17965
110012;32140;2077;1791;1838;1546;1708;1642;2002;1913;1684;1701;1566;1274;52882
110013;3738;169;198;195;203;171;209;157;182;168;209;163;82;5844
110014;2061;73;82;90;96;98;99;81;80;79;95;79;49;3062
110015;6460;332;343;316;228;304;261;266;272;262;266;247;223;9780
110018;10751;454;596;483;459;553;529;464;474;439;436;415;313;16366
110020;127739;4541;6652;5549;4768;5674;5247;5076;5600;5082;4547;4704;3240;188419
110025;3008;126;141;173;113;106;129;165;147;140;144;153;95;4640
110026;874;41;43;52;40;36;47;63;54;48;42;17;24;1381
110028;13173;706;604;734;633;677;658;777;685;744;626;600;483;21100
110029;1070;61;24;28;40;41;31;27;21;14;23;12;17;1409
110030;28016;1617;1688;1630;1884;1605;1693;1598;1752;1466;1595;1373;1162;47079
110032;3968;128;218;142;142;196;193;158;221;165;166;163;152;6012
110033;2451;97;91;84;69;113;95;86;92;73;98;89;50;3488
110034;1540;32;52;43;40;29;37;46;71;28;69;44;45;2076
110037;1260;44;38;46;42;52;42;36;65;36;29;27;16;1733
110040;1768;96;107;80;55;76;68;62;63;73;53;62;30;2593
110045;4010;308;260;327;206;203;383;222;183;217;205;193;120;6837
110050;1178;45;47;35;42;39;48;28;28;13;24;21;19;1567
110060;629;22;45;25;23;13;20;14;29;9;8;15;17;869
110070;1059;27;42;35;53;48;31;27;26;27;30;23;18;1446
110080;3123;205;156;138;103;164;182;210;185;193;122;133;159;5073
110090;605;23;15;28;19;23;26;18;15;20;9;6;9;816
110092;3349;230;194;161;147;141;139;184;161;168;160;125;82;5241
110094;1968;86;97;129;149;147;130;149;126;114;92;86;35;3308
110100;897;17;83;49;34;30;23;16;17;22;14;24;28;1254
110110;1545;68;60;93;95;109;118;100;111;76;57;41;24;2497
110120;1013;22;44;56;38;41;34;85;59;62;40;52;54;1600
110130;1545;44;46;60;33;54;39;62;34;39;39;32;19;2046
110140;1590;46;65;61;68;48;80;46;34;31;55;38;26;2188
110143;736;11;25;11;12;9;25;14;24;20;14;16;15;932
110145;843;31;32;33;32;23;34;17;21;25;27;19;24;1161
110146;817;76;40;27;33;40;34;19;17;34;22;17;12;1188
110147;494;26;27;12;16;9;16;13;19;37;13;25;11;718
110148;729;13;22;37;36;18;17;21;30;18;29;22;7;999
110149;1977;83;87;105;81;87;121;93;120;109;69;82;57;3071
110150;1450;47;54;62;43;50;102;41;74;34;30;40;27;2054
110155;499;16;5;19;12;11;26;15;16;25;14;9;10;677
110160;961;43;52;50;24;24;27;15;24;35;19;9;15;1298
110170;1647;41;52;41;57;47;84;43;94;51;76;36;33;2302
110175;826;19;49;36;17;31;37;26;25;15;14;18;9;1122
110180;814;26;82;25;29;26;17;20;27;18;10;20;7;1121
120001;1081;54;40;99;71;32;34;49;74;41;61;32;21;1689
120005;574;28;15;99;44;18;18;13;14;10;13;9;8;863
120010;3150;190;143;164;160;163;132;137;125;135;125;104;115;4843
120013;2015;88;63;86;130;145;82;93;85;64;79;79;49;3058
120017;782;20;17;14;14;31;15;21;31;14;14;15;9;997
120020;11250;701;475;1324;725;529;482;483;368;349;346;349;225;17606
120025;2332;102;52;154;84;107;103;97;96;59;89;80;64;3419
120030;2298;54;49;75;108;131;46;65;69;63;43;45;34;3080
