Coluna;Mês Admissão
Município;Não admitido ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
110001;1651;67;89;162;113;102;122;56;76;57;52;49;26;2622
110002;11345;932;726;799;646;697;691;761;822;660;689;585;374;19727
110003;386;13;4;16;3;18;22;10;15;12;28;27;6;560
110004;9817;437;541;517;610;609;523;677;578;494;456;493;394;16146
110005;1380;74;53;40;40;57;62;77;47;34;42;40;46;1992
110006;1657;75;136;65;82;85;78;84;61;81;72;49;30;2555
110007;613;13;23;23;11;62;29;49;22;31;28;33;8;945
110008;717;17;8;160;63;31;18;12;5;5;24;15;6;1081
110009;2834;156;92;89;105;148;167;161;215;121;103;109;81;4381
110010;2423;67;198;98;51;79;52;73;97;58;60;69;48;3373
110011;6533;358;629;542;324;390;406;441;423;281;240;246;239;11052
110012;17026;719;737;870;822;1035;950;1083;935;740;784;754;688;27143
110013;2053;114;118;152;104;85;139;126;104;115;98;76;30;3314
110014;995;23;27;20;33;37;40;37;29;18;28;16;9;1312
110015;3788;215;144;121;190;157;146;142;184;125;112;189;114;5627
110018;5465;292;278;261;213;287;242;273;272;353;292;268;202;8698
110020;106084;2967;2895;3417;3430;3144;3409;3056;3239;2755;2622;2496;2055;141569
110025;1615;44;64;43;159;62;63;67;52;75;67;60;43;2414
110026;279;7;3;4;7;1;25;15;11;7;10;4;4;377
110028;5211;247;518;260;254;336;378;407;402;593;250;301;190;9347
110029;748;30;21;35;53;71;70;71;53;76;97;64;14;1403
110030;10580;609;676;785;779;751;600;766;715;749;688;639;447;18784
110032;1109;51;35;23;27;136;46;40;43;19;81;45;11;1666
110033;1077;14;27;43;43;40;54;151;60;54;33;35;24;1655
110034;1082;39;34;31;51;25;43;26;30;19;18;19;25;1442
110037;560;14;16;12;59;20;29;10;16;9;5;8;8;766
110040;826;25;42;50;45;45;188;69;55;33;29;24;22;1453
110045;2133;126;139;239;152;195;210;192;246;245;163;136;62;4238
110050;565;3;10;16;21;65;27;25;17;9;13;6;13;790
110060;297;17;10;57;5;14;10;4;6;6;10;5;12;453
110070;456;21;9;78;35;58;14;19;17;34;22;13;3;779
110080;918;48;31;76;35;37;56;31;32;20;36;23;14;1357
110090;270;6;7;10;6;4;49;6;5;7;16;7;1;394
110092;983;61;87;69;136;100;75;67;282;125;137;88;57;2267
110094;846;25;51;24;43;27;41;70;63;54;50;76;34;1404
110100;446;5;28;12;94;28;15;24;6;10;6;6;3;683
110110;375;13;10;12;20;59;33;23;22;14;18;47;13;659
110120;496;11;73;20;8;52;52;32;23;28;15;6;10;826
