Coluna;Mês Desligamento
Município;Não desligado ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
110001;472;9;7;6;4;8;3;8;9;3;12;46;15;602
110002;3801;126;144;138;178;291;137;143;138;175;165;176;217;5829
110003;166;0;0;0;1;1;0;0;1;0;0;1;0;170
110004;4417;160;171;144;155;123;152;180;206;144;172;190;330;6544
110005;409;3;5;5;1;16;6;7;1;5;11;4;5;478
110006;691;3;7;15;12;16;10;8;25;6;10;8;3;814
110007;168;25;3;11;11;2;6;7;3;8;7;10;97;358
110008;255;0;2;2;0;1;3;7;6;6;4;8;4;298
110009;1156;7;18;19;9;18;9;38;27;16;32;14;31;1394
110010;1588;38;42;32;34;51;43;60;47;25;67;69;138;2234
110011;3094;78;106;76;112;89;117;153;160;184;132;124;157;4582
110012;8257;323;349;329;333;445;292;350;327;363;329;405;1368;13470
110013;442;16;39;28;5;8;11;19;9;5;8;2;21;613
110014;444;2;9;6;6;9;3;2;5;2;9;1;4;502
110015;1817;59;61;70;82;67;62;75;59;53;45;48;143;2641
110018;2775;116;104;123;113;104;144;187;161;105;124;167;203;4426
110020;72262;1001;1038;1163;924;996;1133;1060;1145;1134;1202;1192;2096;86346
110025;785;7;14;20;5;16;17;9;20;14;14;20;38;979
110026;60;0;0;1;0;0;0;1;0;1;0;1;2;66
110028;2067;72;89;38;46;68;39;45;57;47;57;75;75;2775
110029;321;3;7;12;8;8;4;5;4;5;9;4;7;397
110030;4039;114;172;154;146;131;161;182;169;148;187;156;152;5911
110032;333;2;2;6;5;1;0;3;5;2;3;2;7;371
110033;284;0;0;0;2;0;0;1;1;2;0;1;0;291
110034;451;8;7;5;6;5;3;2;9;6;12;3;5;522
110040;158;0;0;3;3;4;1;4;2;3;2;6;29;215
110050;106;0;0;1;1;0;0;0;0;0;0;1;0;109
110060;98;1;0;0;1;1;0;1;0;1;0;0;3;106
110070;115;8;3;11;8;4;3;11;5;8;12;8;16;212
110080;64;0;2;2;2;2;4;3;4;1;3;0;12;99
110090;175;7;8;13;9;4;7;3;9;8;7;3;6;259
110100;167;0;0;0;0;0;0;0;22;4;1;0;5;199
110110;385;0;6;6;3;9;10;15;9;25;7;11;10;496
110120;168;0;1;11;0;0;0;0;0;0;0;1;3;184
110130;89;3;2;5;10;2;2;1;0;1;2;1;0;118
110140;206;5;2;5;8;4;1;6;1;3;7;13;8;269
110150;43;0;0;0;0;0;0;0;0;0;0;0;0;43
110160;134;13;3;0;0;4;1;15;1;3;0;0;7;181
110170;226;3;4;4;13;1;2;0;2;0;5;0;3;263
110180;186;1;8;2;4;1;2;10;5;3;3;5;13;243
119999;1;1;0;0;0;1;0;0;0;0;0;0;0;3
120001;87;2;3;4;2;1;2;2;3;1;2;7;31;147
120005;14;0;0;0;0;0;0;0;0;0;0;0;0;14
120010;321;1;3;3;0;7;2;1;7;1;3;3;8;360
120013;183;0;4;22;4;2;2;3;4;1;4;1;27;257
120017;33;0;1;1;0;1;0;0;0;16;0;1;0;53
120020;1883;31;37;27;26;25;28;26;43;31;34;54;36;2281
120025;249;11;6;1;2;5;2;4;3;13;3;6;8;313
120030;55;0;0;1;0;0;0;0;1;0;0;1;0;58
120033;13;1;0;1;0;0;0;0;0;0;0;0;1;16
