Coluna;Mês Admissão
Município;Não admitido ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
110001;2686;92;116;99;51;62;85;76;97;110;88;78;57;3697
110002;17919;765;865;758;319;365;498;641;754;816;847;717;544;25808
110003;739;46;26;16;7;7;23;18;18;24;24;18;7;973
110004;18000;887;1067;895;407;510;597;717;790;796;789;826;741;27022
110005;2270;166;106;80;36;45;45;64;73;101;100;109;80;3275
110006;2306;80;105;91;53;46;57;71;88;83;124;79;69;3252
110007;1315;135;116;64;20;42;35;45;54;62;66;51;48;2053
110008;970;36;30;26;67;14;21;18;7;11;18;8;9;1235
110009;4969;188;185;203;95;124;181;290;264;283;252;219;182;7435
110010;3679;122;105;139;74;89;103;124;100;100;86;90;62;4873
110011;10457;418;501;430;146;357;260;292;361;362;339;355;284;14562
110012;29746;1317;1329;1205;477;864;938;1153;1114;1259;1121;1149;877;42549
110013;3209;126;251;148;48;62;173;158;100;127;132;142;88;4764
110014;1707;64;72;50;33;37;34;45;51;51;51;48;42;2285
110015;6197;215;239;200;77;81;184;218;249;241;218;186;178;8483
110018;9803;449;480;420;201;297;406;457;464;474;411;401;275;14538
110020;158212;3635;4656;4249;1975;2551;3128;3510;3582;3705;4002;3690;2576;199471
110025;2545;165;162;136;83;59;118;125;136;104;85;66;76;3860
110026;466;30;36;23;10;24;52;34;41;26;37;25;9;813
110028;11999;581;467;482;225;257;444;532;412;404;448;451;436;17138
110029;914;14;18;20;11;23;9;39;17;17;16;15;9;1122
110030;21959;1192;1124;988;548;715;827;1018;1003;933;1092;1131;903;33433
110032;3281;90;137;102;72;55;79;116;117;128;145;97;91;4510
110033;1938;41;74;74;37;42;65;61;55;60;53;45;24;2569
110034;1349;65;100;48;23;14;27;33;33;35;29;31;37;1824
110037;1062;27;43;28;9;14;15;16;21;22;23;20;12;1312
110040;1396;97;67;56;18;46;42;39;56;65;44;50;28;2004
110045;3439;241;230;138;75;60;89;93;123;130;167;113;66;4964
110050;851;43;32;11;15;16;32;28;24;30;25;20;4;1131
110060;562;25;46;19;4;7;7;14;16;5;18;12;15;750
110070;921;32;54;22;21;22;46;25;26;17;21;17;19;1243
110080;2127;366;80;72;39;69;74;98;73;68;68;56;91;3281
110090;219;15;12;8;4;3;4;14;4;9;7;6;5;310
110092;2894;153;161;161;108;100;112;132;138;76;78;62;73;4248
110094;1383;53;116;69;38;37;30;49;64;54;39;34;31;1997
110100;610;28;19;15;9;5;9;11;13;5;7;2;6;739
110110;1193;32;20;39;42;42;56;46;38;50;37;32;32;1659
110120;844;21;67;18;7;14;15;37;26;27;46;21;19;1162
110130;1325;44;43;34;21;17;23;28;35;35;33;28;26;1692
110140;1240;30;104;89;41;29;17;32;60;33;35;45;48;1803
110143;504;8;35;16;3;1;5;5;7;7;11;6;3;611
110145;662;26;40;24;19;26;20;20;24;24;32;14;22;953
110146;660;86;56;38;31;33;65;52;18;38;36;17;24;1154
110147;375;5;3;8;2;4;4;6;6;2;2;1;5;423
110148;569;17;27;33;16;7;7;21;14;11;11;13;8;754
110149;1589;76;81;49;33;43;44;46;54;62;58;57;35;2227
110150;1263;53;35;69;29;28;29;47;39;20;20;29;20;1681
110155;454;8;9;11;5;3;16;13;6;22;14;9;26;596
110160;925;38;36;32;19;5;17;25;57;22;21;14;6;1217
110170;1323;50;62;61;23;16;51;45;33;39;38;34;44;1819
110175;735;18;54;24;8;12;11;12;24;15;24;27;8;972
110180;708;30;34;25;18;9;9;6;18;14;10;18;11;910
120001;828;41;13;38;47;13;13;30;21;38;30;25;24;1161
120005;330;14;17;94;8;8;18;10;11;7;14;7;2;540
120010;2372;42;67;99;60;33;72;61;62;80;77;87;73;3185
120013;1154;62;36;44;31;70;70;48;58;27;74;29;30;1733
120017;618;32;17;46;12;14;9;16;22;21;15;13;5;840
120020;8941;447;326;733;305;191;233;292;301;390;368;311;412;13250
120025;1639;39;58;61;17;55;19;32;42;55;48;54;39;2158
120030;1985;22;76;57;4;11;11;9;21;16;26;6;7;2251
