Coluna;Mês Desligamento
Município;Não desligado ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
110001;864;28;25;51;36;24;31;29;46;25;15;18;43;1235
110002;5474;238;251;275;260;282;361;216;322;295;249;299;530;9052
110003;268;3;0;4;1;3;4;2;13;4;6;3;3;314
110004;5832;258;218;285;231;303;361;296;345;348;242;344;324;9387
110005;916;24;45;23;43;47;43;41;47;28;39;43;80;1419
110006;945;33;71;24;39;34;31;31;43;25;34;19;203;1532
110007;276;0;0;1;3;3;4;1;1;6;0;3;3;301
110008;269;3;5;11;7;5;5;0;6;6;3;2;20;342
110009;1055;30;26;38;60;48;63;42;58;22;36;32;118;1628
110010;30134;198;101;108;257;167;154;169;149;98;144;115;69;31863
110011;3090;147;119;155;134;142;164;152;167;172;128;154;187;4911
110012;11008;399;414;1129;566;572;588;537;546;479;479;445;514;17676
110013;452;4;16;26;20;28;11;15;10;6;7;15;1;611
110014;428;6;15;31;10;7;37;15;14;10;11;13;5;602
110015;2398;78;89;87;165;80;73;83;133;75;83;91;102;3537
110018;3437;133;118;195;161;129;203;146;162;185;195;261;226;5551
110020;49789;1634;1412;1660;1361;1339;2317;1646;1814;1382;1459;1496;1705;69014
110025;1064;17;24;23;56;32;36;20;35;55;17;20;13;1412
110026;91;0;0;2;0;0;0;0;0;0;0;0;30;123
110028;2770;135;75;88;161;96;109;105;117;135;91;100;161;4143
110029;320;4;5;5;13;16;9;10;22;15;8;10;19;456
110030;5737;341;293;273;275;287;318;270;341;243;264;330;317;9289
110032;460;11;22;11;27;11;18;25;19;14;7;9;19;653
110033;317;4;3;3;3;2;3;4;10;2;16;5;3;375
110034;675;24;18;13;39;14;19;14;22;12;12;30;32;924
110037;136;0;2;1;3;1;2;2;5;2;2;0;0;156
110040;187;0;3;9;4;18;8;9;7;25;1;3;156;430
110045;200;8;8;28;35;21;15;18;10;21;15;22;59;460
110050;221;0;0;2;11;0;1;1;3;2;16;48;0;305
110060;129;3;1;6;2;2;1;4;7;7;5;3;31;201
110070;104;8;5;6;9;3;2;7;1;9;9;10;1;174
110080;279;10;13;11;33;10;15;6;20;13;18;11;6;445
110090;152;4;10;7;11;12;16;5;3;6;2;7;4;239
110092;335;17;13;21;18;17;11;14;17;14;11;20;7;515
110094;200;13;17;20;14;8;15;20;23;15;15;12;18;390
110100;192;0;7;4;13;2;1;0;0;1;6;2;12;240
110110;298;11;5;5;4;6;4;5;6;2;17;9;1;373
110120;222;1;2;3;2;0;0;0;5;3;7;3;1;249
110130;340;7;17;19;10;22;9;18;18;7;3;11;15;496
110140;407;7;5;23;10;9;19;112;8;7;18;12;3;640
110143;7;0;0;0;1;0;0;1;0;1;0;0;0;10
110145;94;0;0;0;0;0;0;2;0;0;0;0;5;101
110146;75;37;0;0;0;4;1;0;0;1;0;2;1;121
110147;78;0;0;0;1;0;3;0;1;1;8;6;1;99
110148;89;13;1;0;0;1;0;0;9;13;0;7;0;133
110149;186;4;8;20;22;9;12;17;10;8;9;15;75;395
