Coluna;Mês Admissão
Município;Não admitido ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
110001;434;6;7;12;3;10;47;32;13;19;11;4;4;602
110002;3319;162;158;180;138;281;204;266;264;453;157;137;110;5829
110003;168;0;1;0;0;0;0;0;0;0;0;1;0;170
110004;3714;191;190;300;227;233;580;217;193;190;167;231;111;6544
110005;423;1;12;6;8;8;1;3;2;2;0;5;7;478
110006;482;50;6;9;190;17;14;16;14;11;2;2;1;814
110007;214;17;1;58;13;8;6;21;6;3;4;7;0;358
110008;261;12;4;3;1;2;5;1;1;4;1;3;0;298
110009;749;15;52;29;59;20;107;43;28;12;37;14;229;1394
110010;1618;76;61;109;53;66;49;27;61;40;34;21;19;2234
110011;2739;86;78;134;152;414;135;198;177;170;136;111;52;4582
110012;7931;377;540;511;545;498;497;1046;404;293;333;314;181;13470
110013;357;17;13;116;39;12;8;29;8;8;4;2;0;613
110014;442;3;11;8;4;11;5;1;5;4;1;6;1;502
110015;1809;94;61;125;53;79;90;63;51;83;58;49;26;2641
110018;2354;143;90;160;171;209;557;162;138;77;125;115;125;4426
110020;71280;1206;1274;1271;1263;1315;1113;1345;1484;1438;1142;1147;1068;86346
110025;654;29;44;19;22;22;61;20;29;32;20;16;11;979
110026;51;2;2;0;3;1;0;1;3;1;1;0;1;66
110028;1850;49;76;59;67;116;109;81;88;60;65;113;42;2775
110029;196;1;2;8;2;4;9;113;33;7;13;9;0;397
110030;3509;178;227;196;164;237;205;207;445;169;151;170;53;5911
110032;303;6;8;12;7;3;2;8;1;6;2;11;2;371
110033;266;3;0;4;4;1;4;4;0;3;0;1;1;291
110034;324;0;6;3;113;12;13;9;13;12;6;7;4;522
110040;137;12;6;19;8;4;13;5;2;5;4;0;0;215
110050;106;0;0;1;0;1;0;0;0;1;0;0;0;109
110060;63;0;8;1;0;17;2;1;0;4;5;3;2;106
110070;97;1;6;1;1;12;14;18;4;8;21;24;5;212
110080;64;5;2;0;4;2;0;1;2;7;3;3;6;99
110090;190;9;2;7;9;9;6;3;8;5;4;2;5;259
110100;137;0;0;5;5;2;33;0;0;0;3;2;12;199
110110;371;5;13;15;8;20;9;11;12;7;4;14;7;496
110120;80;8;2;33;34;11;4;9;1;0;1;1;0;184
110130;101;3;2;1;3;0;1;1;1;2;3;0;0;118
110140;153;52;0;0;1;31;3;13;3;6;0;3;4;269
