Coluna;Mês Admissão
Município;Não admitido ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
110001;1595;60;43;60;84;80;118;68;116;62;52;47;35;2420
110002;9299;487;538;688;554;720;767;623;731;580;543;752;436;16718
110003;373;6;14;5;9;15;14;45;23;8;2;12;3;529
110004;8885;599;480;508;611;509;481;1233;571;491;470;479;365;15682
110005;1323;71;78;115;58;65;64;64;73;51;47;45;29;2083
110006;1472;116;89;115;96;117;75;71;87;69;98;93;37;2535
110007;490;82;34;33;15;41;41;44;44;45;38;32;15;954
110008;527;10;5;10;45;34;24;14;35;10;29;49;15;807
110009;2547;148;157;165;204;163;262;238;239;208;171;119;84;4705
110010;2565;51;54;105;134;92;95;70;94;96;52;128;47;3583
110011;5472;300;336;371;342;303;386;360;341;317;267;383;254;9432
110012;15184;677;749;1045;941;903;1027;1267;967;1035;760;759;576;25890
110013;1440;76;51;221;152;107;78;81;124;128;104;251;42;2855
110014;830;24;69;73;37;35;38;44;25;28;23;29;16;1271
110015;3262;169;138;157;173;226;193;178;142;105;144;140;100;5127
110018;4548;237;247;336;298;361;299;452;290;376;341;263;195;8243
110020;94829;2710;2554;3611;3184;3510;3002;4508;3042;2779;2178;2024;1786;129717
110025;1351;53;50;48;70;69;50;52;64;35;57;43;34;1976
110026;231;5;9;17;5;11;9;5;5;4;3;7;4;315
110028;4670;175;198;249;307;249;281;257;510;305;244;233;134;7812
110029;600;14;12;30;22;55;64;28;38;39;62;44;10;1018
110030;9157;610;621;753;553;830;734;1304;881;610;558;543;383;17537
110032;924;42;30;47;31;52;57;48;38;35;115;34;17;1470
110033;896;29;41;53;100;46;81;50;36;46;17;17;22;1434
110034;1038;14;27;33;52;43;34;42;31;44;54;11;12;1435
110037;448;14;38;51;20;17;14;16;9;22;9;23;9;690
110040;678;31;53;49;83;29;37;38;31;39;27;28;7;1130
110045;1637;129;126;182;146;164;187;203;116;134;125;79;90;3318
110050;262;75;47;20;43;21;7;20;13;14;17;6;4;549
110060;237;14;14;36;19;11;30;6;14;18;9;7;3;418
110070;354;7;11;10;7;6;23;17;9;12;6;6;2;470
110080;732;36;31;70;69;40;53;33;36;36;16;37;13;1202
110090;225;4;3;30;17;20;9;5;4;2;4;3;3;329
110092;755;63;103;95;63;128;131;117;79;61;56;42;27;1720
110094;635;43;33;33;59;29;60;42;54;53;31;44;11;1127
110100;399;8;6;8;12;13;12;12;5;6;5;4;4;494
110110;586;18;12;33;15;13;19;26;14;16;16;8;2;778
110120;429;8;47;22;9;25;16;26;33;53;15;18;9;710
110130;673;42;27;75;30;36;20;21;20;15;11;29;5;1004
110140;714;37;66;42;44;55;40;43;33;36;25;30;15;1180
110143;213;6;1;1;1;2;4;5;6;0;6;5;4;254
110145;218;7;2;18;7;3;5;7;6;6;29;3;4;315
110146;255;34;16;9;21;19;22;26;9;18;10;36;32;507
110147;272;10;1;8;5;4;7;6;4;1;2;11;1;332
110148;241;6;1;9;15;5;15;5;7;4;4;3;2;317
110149;825;42;61;79;56;43;52;65;96;48;201;46;24;1638
110150;451;11;35;16;16;12;19;21;11;13;42;13;10;670
110155;371;1;8;6;6;8;7;4;9;2;10;6;4;442
110160;411;7;16;26;10;8;6;23;6;4;12;8;11;548
110170;526;13;20;12;8;8;12;15;16;11;6;11;12;670
110175;317;2;6;9;9;17;5;8;6;10;8;12;1;410
110180;399;12;13;9;33;18;14;17;11;8;13;8;8;563
119999;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120001;543;22;10;42;29;45;18;38;35;6;24;10;21;843
120005;184;2;1;17;4;0;2;8;2;0;2;20;11;253
120010;561;71;19;13;26;29;30;21;21;21;10;26;24;872
120013;338;18;12;3;8;16;27;10;11;6;9;6;21;485
120017;337;4;22;28;41;21;10;70;40;37;6;3;3;622
120020;2841;144;71;115;91;100;65;94;160;143;77;86;48;4035
120025;512;37;109;33;50;42;70;34;47;13;20;33;36;1036
120030;826;15;15;72;18;9;9;29;2;11;6;5;2;1019
120032;0;0;2;0;0;0;0;0;0;0;0;0;0;2
120033;232;5;1;30;1;4;2;32;7;9;0;1;1;325
120034;120;0;1;0;0;0;0;0;0;0;0;0;0;121
120035;390;2;5;10;2;4;1;0;0;0;0;0;0;414
120038;566;22;31;14;20;7;16;7;14;5;8;8;26;744
120039;6;0;0;4;0;0;0;0;0;8;0;0;0;18
120040;55577;1741;2167;2086;1574;1672;2285;2382;1824;1638;1330;1433;1216;76925
120042;200;2;4;0;0;0;0;0;0;7;1;0;1;215
120043;81;0;0;0;0;0;0;0;0;0;0;0;0;81
120045;717;21;26;16;21;31;26;41;22;13;18;10;105;1067
120050;624;25;9;164;165;24;31;202;61;24;17;37;29;1412
120060;1079;38;35;63;17;18;17;15;27;26;10;6;10;1361
120070;520;6;6;2;7;4;10;5;3;8;4;4;2;581
120080;202;1;2;2;1;4;4;3;3;1;1;3;1;228
129999;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130002;10;0;0;0;0;0;1;0;0;1;0;1;0;13
130006;193;0;0;4;6;2;1;0;0;0;0;0;0;206
130008;10;0;0;0;0;0;0;0;0;0;0;0;0;10
130010;13;0;0;0;0;0;0;1;0;0;0;0;0;14
130014;336;3;4;10;3;114;17;31;4;5;0;5;0;532
130020;66;0;0;0;0;0;2;0;0;0;0;0;0;68
130030;333;0;0;0;0;0;0;2;1;0;0;0;0;336
130040;180;4;1;14;1;1;0;1;0;2;1;1;0;206
130050;502;59;11;23;5;2;4;3;3;8;1;1;0;622
130060;792;25;82;6;25;10;2;9;0;0;1;0;0;952
130063;12;0;0;0;0;0;0;0;0;1;0;0;0;13
130068;125;0;4;0;0;0;0;0;0;0;0;0;0;129
130070;870;31;12;10;28;26;12;6;34;17;16;7;5;1074
130080;418;0;1;0;0;4;2;2;0;1;0;0;0;428
130083;410;1;0;0;0;0;0;13;0;0;0;0;1;425
130090;15;0;0;1;0;1;1;0;0;1;3;0;0;22
130100;472;1;0;0;2;1;0;163;1;13;1;2;0;656
130110;692;56;210;29;22;13;11;0;1;21;0;3;2;1060
130115;12;0;0;0;0;2;0;1;0;0;0;0;0;15
130120;3206;19;4;14;7;49;24;51;48;17;21;5;7;3472
130130;367;4;0;1;6;0;0;1;1;0;0;0;0;380
130140;725;2;2;6;2;0;3;6;1;0;4;1;2;754
130150;439;5;3;9;91;84;85;9;1;0;0;0;0;726
130160;362;0;0;0;0;0;1;0;0;0;0;0;0;363
130165;147;9;1;2;2;1;1;2;2;5;1;2;1;176
130170;1479;103;33;106;42;34;43;27;27;20;34;24;6;1978
130180;181;0;0;0;0;0;1;1;0;0;0;0;0;183
130185;1408;75;67;114;91;115;44;139;83;74;78;41;5;2334
130190;5668;133;201;286;298;229;268;195;320;214;247;168;104;8331
130195;141;0;0;0;1;0;1;0;0;0;0;0;0;143
130200;210;0;0;0;3;0;1;0;4;0;0;0;0;218
130210;14;0;0;0;0;0;1;0;0;1;0;0;0;16
130220;166;3;1;141;3;1;1;2;1;2;2;0;47;370
130230;10;0;0;0;0;0;1;0;0;0;0;0;0;11
130240;135;0;3;3;1;7;4;2;8;1;3;6;0;173
130250;1399;82;59;132;84;161;112;85;69;99;43;27;29;2381
130255;13;0;0;0;0;0;0;0;0;0;0;0;0;13
130260;282018;12932;12630;15788;12848;13180;15184;16000;15331;15077;15443;13710;9925;450066
130270;849;1;0;1;7;38;4;1;17;3;8;1;1;931
130280;14;1;0;0;0;1;2;0;1;0;0;0;0;19
130290;1294;14;11;20;16;7;13;24;15;6;7;25;30;1482
130300;461;31;10;72;10;4;10;21;8;4;0;9;0;640
130310;306;2;1;0;98;0;9;0;2;5;1;2;1;427
130320;193;1;1;0;1;2;0;2;2;0;2;0;0;204
130330;172;1;3;1;0;2;1;0;0;0;0;0;1;181
130340;2996;76;37;314;32;95;66;51;37;30;83;48;31;3896
130350;278;0;6;1;7;1;193;3;0;0;0;0;0;489
130353;2928;312;193;363;135;201;186;344;177;121;148;98;75;5281
130356;593;45;22;24;33;34;30;39;35;3;7;13;18;896
130360;21;0;0;0;0;2;1;0;0;3;0;0;0;27
130370;48;0;0;0;0;0;0;0;0;0;0;0;0;48
130380;407;8;20;11;149;71;97;27;10;9;41;15;2;867
130390;35;0;1;0;0;0;0;1;0;0;0;1;0;38
130395;154;0;0;0;0;3;1;1;0;0;0;0;1;160
130400;18;0;0;0;1;1;1;0;0;1;0;0;0;22
130406;510;35;9;13;15;28;33;25;31;21;32;12;23;787
130410;390;0;0;0;0;1;0;1;0;0;0;0;0;392
130420;870;69;37;29;60;53;43;34;38;42;21;13;38;1347
130423;9;0;0;0;0;0;1;0;0;0;0;0;0;10
130426;12;0;0;2;0;0;2;1;0;0;0;0;0;17
130430;383;1;1;0;0;2;2;0;0;4;0;0;1;394
130440;472;5;1;39;4;3;4;0;0;1;2;0;0;531
139999;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140002;4;0;68;3;1;6;0;6;3;0;1;2;0;94
140005;15;0;116;2;2;1;70;3;11;5;6;2;1;234
140010;19747;1033;927;1075;842;1032;1029;1048;1079;1096;982;963;720;31573
140015;19;74;11;6;0;1;1;0;5;2;15;10;6;150
