Coluna;Mês Admissão
Município;Não admitido ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
110002;2504;143;100;106;108;138;197;187;285;146;106;102;71;4193
110004;3623;128;106;118;127;256;258;253;277;191;105;72;49;5563
110005;407;26;9;13;10;18;27;30;19;37;14;15;1;626
110006;419;9;3;28;4;38;27;15;24;54;24;8;5;658
110008;412;16;30;29;18;16;15;18;19;38;15;3;0;629
110009;542;68;22;18;93;57;56;42;26;55;16;3;2;1000
110010;1408;60;32;110;103;57;67;71;51;25;33;12;7;2036
110011;1694;31;101;82;126;153;136;151;306;126;96;48;20;3070
110012;7655;251;283;356;383;495;389;508;473;607;325;216;180;12121
110014;9;0;1;0;0;0;0;0;0;0;1;0;0;11
110015;1784;57;46;147;113;87;96;138;225;126;91;40;19;2969
110018;1953;47;107;77;101;121;108;140;117;153;139;74;26;3163
110020;81867;1090;1230;1385;1402;1636;1945;2091;2186;1933;1458;1049;742;100014
110025;378;6;2;6;4;16;20;19;15;29;11;18;6;530
110028;712;12;44;66;36;56;81;80;96;82;43;23;11;1342
110029;107;1;1;1;3;2;3;9;19;9;4;3;0;162
110030;4060;161;144;271;266;297;241;244;390;279;215;151;91;6810
110032;43;5;3;0;0;4;6;2;0;2;2;2;1;70
110033;27;0;4;0;0;1;0;0;2;0;2;0;0;36
110034;56;0;4;0;4;0;1;3;0;1;3;2;0;74
119999;143;4;1;48;21;4;11;15;6;1;6;2;0;262
120005;6;0;0;0;0;0;0;0;0;0;0;0;0;6
120010;397;2;0;5;2;1;1;0;2;2;1;0;1;414
120020;1577;56;64;27;33;17;39;54;58;33;52;18;49;2077
120030;365;0;0;0;0;0;1;0;0;0;0;0;0;366
120033;6;0;0;0;0;0;0;0;0;0;0;0;0;6
120034;7;0;0;0;0;0;0;0;0;0;0;0;0;7
120038;49;0;0;0;0;0;6;0;5;0;0;0;0;60
120040;41678;582;562;817;941;912;1084;1209;1071;1018;633;651;390;51548
120045;265;0;0;2;0;3;4;5;12;4;5;0;1;301
