Coluna;Mês Desligamento
Município;Não desligado ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
110002;3873;119;115;169;142;125;117;152;188;153;136;121;182;5592
110003;174;2;0;0;0;1;1;1;2;0;2;1;2;186
110004;4002;140;98;129;113;93;112;176;140;165;138;159;288;5753
110005;612;8;18;11;12;9;14;16;15;21;16;22;33;807
110006;590;8;10;14;10;13;15;12;17;21;26;42;22;800
110008;300;3;8;14;9;9;14;8;6;7;5;25;4;412
110009;665;21;18;21;14;14;16;11;15;57;17;31;24;924
110010;1430;14;20;25;12;23;24;28;22;20;17;36;37;1708
110011;2155;34;54;62;45;56;67;66;80;77;102;55;76;2929
110012;7077;157;198;286;270;235;264;341;285;286;293;320;397;10409
110013;22;0;0;0;0;0;0;0;0;0;0;0;0;22
110014;14;0;0;1;0;0;0;1;0;0;0;0;0;16
110015;1730;36;39;61;48;43;84;89;42;50;47;44;114;2427
110018;2030;42;39;83;46;52;75;85;101;114;113;141;148;3069
110020;76688;622;852;975;1020;746;817;916;781;816;860;1061;1311;87465
110025;641;9;11;9;15;5;17;11;32;9;12;12;15;798
110028;989;13;20;30;36;19;36;32;55;47;35;42;50;1404
110029;399;8;2;10;4;3;8;6;9;30;4;10;14;507
110030;3446;112;129;197;149;147;192;162;175;150;228;274;237;5598
110032;328;4;8;6;5;1;5;3;5;3;6;0;2;376
110033;41;1;1;0;1;0;1;1;1;4;0;0;6;57
110034;303;9;2;6;5;8;6;4;3;1;6;6;3;362
110050;114;0;0;0;0;0;0;0;0;0;0;0;0;114
110060;1;0;0;0;0;0;0;0;0;0;0;3;0;4
110070;118;1;0;1;2;1;5;6;6;1;2;4;6;153
110110;231;7;3;9;2;5;8;17;3;10;3;2;3;303
110120;1;0;0;0;0;0;0;0;0;0;0;0;0;1
119999;17;0;1;0;0;0;0;0;1;4;1;1;0;25
120005;6;0;0;0;0;0;0;0;0;0;0;0;0;6
