Coluna;Mês Admissão
Município;Não admitido ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
110002;3338;172;235;174;158;245;195;177;237;209;175;154;123;5592
110003;148;10;10;5;4;0;2;2;1;1;1;0;2;186
110004;3686;121;180;160;180;207;209;212;222;232;131;132;81;5753
110005;545;8;44;27;19;15;19;38;25;20;32;10;5;807
110006;379;22;32;18;34;31;34;59;35;64;38;14;40;800
110008;283;22;15;8;14;15;27;5;5;10;3;3;2;412
110009;559;40;20;55;44;19;20;22;29;32;37;40;7;924
110010;1261;84;65;35;27;40;20;35;36;31;38;22;14;1708
110011;1784;68;64;85;78;102;113;145;111;123;124;98;34;2929
110012;6062;283;390;556;305;381;329;356;524;356;405;285;177;10409
110013;4;7;5;2;0;0;0;1;0;0;3;0;0;22
110014;16;0;0;0;0;0;0;0;0;0;0;0;0;16
110015;1555;65;66;79;114;99;61;96;65;68;81;64;14;2427
110018;1690;131;72;119;113;223;143;129;160;125;74;35;55;3069
110020;72118;1176;1088;1426;1177;1367;1346;1434;1734;1450;1160;1128;861;87465
110025;574;11;53;18;17;20;21;16;10;15;27;8;8;798
110028;672;57;53;37;31;93;84;93;87;69;65;45;18;1404
110029;278;3;13;17;5;6;12;15;110;18;11;11;8;507
110030;3370;165;172;203;236;211;169;214;215;198;172;176;97;5598
110032;271;3;26;3;3;4;19;13;11;11;7;4;1;376
110033;39;1;4;1;0;1;0;0;1;2;1;6;1;57
110034;331;4;2;1;6;1;3;3;0;6;1;2;2;362
110050;0;2;0;34;25;9;4;8;10;5;2;8;7;114
110060;0;0;0;0;0;4;0;0;0;0;0;0;0;4
110070;2;13;57;11;6;6;13;7;9;20;5;1;3;153
110110;238;17;9;6;2;5;3;4;3;3;2;3;8;303
110120;0;0;0;0;0;0;0;0;0;0;0;1;0;1
119999;10;3;0;1;0;0;2;3;1;5;0;0;0;25
120005;6;0;0;0;0;0;0;0;0;0;0;0;0;6
120010;686;3;0;1;1;3;0;0;5;2;8;6;9;724
120020;1597;28;10;30;41;31;45;36;35;34;26;30;13;1956
120025;0;0;0;1;2;0;0;0;0;5;0;3;4;15
120030;327;1;0;0;0;0;0;0;0;1;0;0;0;329
120033;5;0;0;0;0;2;0;0;0;0;0;0;0;7
120034;6;0;0;0;0;0;0;0;0;0;0;0;0;6
120038;240;19;5;26;7;19;6;4;2;4;0;2;0;334
120039;21;0;0;0;0;0;0;7;0;0;18;0;0;46
120040;42553;750;434;644;611;805;913;908;895;882;870;621;401;51287
120042;40;0;0;0;13;1;0;0;2;1;0;0;0;57
120045;383;2;5;5;0;4;6;2;3;2;3;1;5;421
120050;315;11;0;7;2;10;1;7;0;1;1;0;0;355
120060;532;13;3;7;1;2;0;0;4;5;1;0;1;569
120070;88;0;0;3;3;0;3;1;1;0;0;5;1;105
130002;1;0;0;0;0;0;0;0;0;0;0;0;0;1
130006;2;0;0;0;0;0;0;0;0;0;0;0;0;2
130008;1;0;0;0;0;0;0;0;0;0;0;0;0;1
130010;252;0;0;0;0;1;0;0;4;0;4;0;0;261
130020;25;0;0;0;0;0;0;0;0;0;0;0;0;25
130030;117;3;0;1;25;0;5;0;0;2;3;2;0;158
130040;16;0;0;0;0;0;0;0;0;0;0;0;0;16
130050;370;1;0;0;0;0;0;0;0;17;1;1;1;391
130060;691;71;3;3;2;3;4;8;58;6;2;3;3;857
130063;3;0;0;0;0;0;1;1;2;0;0;0;1;8
130068;42;0;0;0;0;0;0;0;1;0;0;0;0;43
130070;544;16;0;0;0;0;2;0;27;0;5;1;0;595
130080;556;1;0;0;0;0;0;1;23;1;4;2;0;588
130083;109;1;0;2;0;0;0;0;0;0;0;0;0;112
130090;14;0;0;0;0;0;0;0;0;0;0;0;0;14
130100;505;3;1;0;1;3;0;3;23;2;3;0;0;544
130110;124;1;0;0;2;0;1;2;3;0;0;0;0;133
130120;1894;4;17;8;8;12;5;12;593;32;11;28;6;2630
130130;386;0;0;0;0;0;0;0;0;7;0;2;0;395
130140;582;1;16;0;0;3;0;3;2;2;6;0;1;616
130150;51;0;0;0;0;0;0;0;0;0;0;0;0;51
130160;278;2;0;0;0;0;0;0;0;27;7;1;0;315
130170;657;2;1;26;3;1;3;1;1;16;13;5;1;730
130180;116;0;0;0;0;0;0;8;0;0;0;0;0;124
130185;494;61;28;38;26;48;13;21;22;38;40;3;10;842
130190;3844;118;115;91;120;122;142;535;424;137;98;55;35;5836
130195;124;0;0;0;0;2;6;0;0;0;0;0;0;132
130200;70;5;0;1;0;0;1;1;0;1;1;0;0;80
130210;16;0;0;0;0;0;0;0;0;0;0;0;0;16
130220;7;0;0;1;0;0;0;0;0;0;0;0;0;8
130230;15;0;1;0;0;0;0;0;0;0;0;0;0;16
130240;477;4;0;1;1;2;0;3;102;12;5;0;6;613
130250;1621;26;40;46;9;47;18;14;329;39;68;13;20;2290
130255;1;0;0;0;0;0;0;0;0;0;0;0;0;1
130260;189099;4415;3515;4607;4605;5174;4995;5790;14641;6249;5715;5035;3437;257277
130270;520;0;0;0;0;0;0;1;88;14;8;1;2;634
130280;13;0;0;0;0;0;0;0;0;0;0;0;0;13
130290;669;7;0;7;4;47;3;30;22;24;42;6;24;885
130300;21;0;0;0;0;0;0;0;0;0;0;0;0;21
130310;559;22;3;5;0;0;0;0;21;3;35;0;0;648
130320;90;1;4;0;0;0;1;0;0;1;0;0;0;97
130330;13;0;0;0;0;0;0;0;0;0;0;0;0;13
130340;1837;22;5;14;19;10;13;29;183;50;7;43;18;2250
130350;67;0;0;0;0;0;0;0;0;0;0;0;0;67
130353;2040;57;75;67;43;32;29;66;233;110;44;78;76;2950
130356;168;11;1;39;13;0;2;10;14;11;7;2;0;278
130360;8;0;0;0;0;0;0;0;1;0;0;0;0;9
130370;168;4;0;0;0;0;0;0;9;0;0;0;0;181
130380;350;3;0;0;2;2;0;3;15;5;1;6;2;389
130390;211;0;0;0;0;0;0;0;13;0;0;0;0;224
