Coluna;Mês Desligamento
Município;Não desligado ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
420680;377;13;8;11;12;7;4;3;10;13;10;7;13;488
420690;5057;193;386;246;201;193;187;168;209;228;193;156;236;7653
420700;9665;456;376;450;341;432;404;447;646;357;349;399;530;14852
420710;1598;73;71;61;64;54;52;269;69;69;45;59;103;2587
420720;806;31;19;34;28;16;9;11;26;20;53;39;134;1226
420730;5393;181;317;265;174;190;142;170;228;155;164;152;357;7888
420740;393;12;7;7;11;19;8;8;7;4;4;6;24;510
420750;15906;686;835;794;743;740;670;816;797;619;727;761;957;25051
420757;378;8;13;25;9;14;22;14;16;4;23;12;26;564
420760;262;5;7;6;9;8;12;11;9;5;8;2;45;389
420765;992;36;33;43;26;19;31;28;29;18;34;22;56;1367
420768;452;7;12;6;9;13;7;11;13;20;7;10;40;607
420770;1417;33;43;45;45;33;32;32;37;45;47;51;125;1985
420775;217;20;6;6;7;3;8;1;1;3;5;21;25;323
420780;1166;212;168;170;106;77;52;91;57;61;60;58;104;2382
420785;31;2;1;1;1;1;0;3;2;0;0;0;0;42
420790;624;18;12;28;14;20;19;12;17;11;10;4;84;873
420800;915;22;33;35;27;23;34;37;32;35;28;37;107;1365
420810;2059;54;68;62;76;59;66;76;86;63;47;47;155;2918
420820;55991;3964;3036;3505;2994;3162;2904;3001;3286;2847;3218;3192;3292;94392
420830;7155;361;891;516;294;331;279;297;273;298;296;359;806;12156
420840;5059;178;151;124;205;172;122;187;142;114;124;123;127;6828
420845;1059;56;64;66;52;38;34;31;31;28;30;35;83;1607
420850;3255;130;90;121;122;128;94;161;108;123;117;144;191;4784
420860;451;16;38;15;10;14;17;18;13;8;23;7;83;713
420870;1237;34;39;29;42;42;50;37;48;49;44;41;149;1841
420880;2157;74;87;114;80;85;107;68;70;99;83;121;212;3357
420890;49159;1527;2039;1830;1937;2113;1630;1839;1918;1670;1895;1647;1927;71131
420895;134;4;5;2;3;4;3;1;0;3;2;1;2;164
420900;12396;446;514;775;485;491;503;525;489;403;335;438;547;18347
420910;130938;5222;5691;6239;5638;6297;5881;5927;5725;5586;5496;5393;6008;200041
420915;440;41;18;15;25;26;12;8;35;19;15;17;81;752
420917;125;4;3;3;2;17;0;0;0;3;1;1;2;161
420920;302;8;12;10;7;5;8;6;2;2;6;5;18;391
420930;31492;1299;1699;1747;1402;1759;1858;1704;1526;1283;1416;1498;1913;50596
420940;5431;301;289;355;247;325;176;199;205;263;257;273;446;8767
420945;212;5;4;5;8;12;4;5;9;6;6;5;13;294
420950;1193;55;46;52;79;51;35;46;45;35;33;45;46;1761
420960;2120;25;26;34;37;51;45;31;61;61;60;54;70;2675
420970;1623;127;161;269;310;237;83;107;94;60;65;92;304;3532
420980;202;14;3;2;11;1;10;2;10;7;2;5;61;330
420985;490;14;14;9;15;17;13;17;9;6;13;18;18;653
420990;1388;73;63;72;76;80;80;80;61;76;44;45;82;2220
421000;2349;59;75;95;80;85;68;62;57;46;71;52;134;3233
421003;1018;20;24;33;33;25;29;32;19;23;25;20;44;1345
421005;292;6;7;16;17;10;5;6;9;8;6;10;7;399
421010;10068;566;535;615;473;602;551;841;489;472;414;496;734;16856
421020;348;6;4;6;11;9;10;8;7;6;6;6;10;437
421030;537;20;21;28;15;25;18;12;26;13;12;14;51;792
421040;1253;47;46;74;62;74;100;75;48;45;61;64;80;2029
421050;4859;141;168;164;136;146;173;183;165;140;163;167;229;6834
421055;214;18;6;8;3;6;6;2;4;13;2;5;28;315
421060;3290;109;125;139;139;106;107;136;119;96;96;98;136;4696
421070;390;17;8;10;4;9;8;2;4;27;8;4;5;496
421080;853;15;14;26;32;31;21;40;23;34;39;32;62;1222
421085;342;24;11;6;31;8;11;16;11;7;3;5;22;497
421090;717;15;29;26;31;21;36;11;34;19;20;15;37;1011
421100;1463;40;31;65;35;37;29;49;30;26;40;33;72;1950
421105;1814;221;360;345;144;853;115;99;127;71;113;142;898;5302
421110;720;44;31;44;42;49;32;32;48;33;49;29;98;1251
421120;4504;174;205;230;179;192;172;194;210;177;141;154;342;6874
421125;248;4;9;4;6;13;6;3;3;4;5;4;41;350
421130;7183;272;327;389;320;313;348;362;386;231;301;460;533;11425
421140;746;40;52;36;28;28;57;42;36;40;40;28;47;1220
421145;333;10;40;8;12;4;3;18;9;6;10;9;18;480
421150;2779;115;143;132;123;141;156;118;136;136;120;161;195;4455
421160;5730;338;242;374;242;270;347;242;266;224;236;244;281;9036
421165;189;5;1;5;3;6;1;5;6;1;3;1;13;239
421170;4949;144;139;199;230;149;163;172;156;129;158;139;262;6989
421175;3852;191;470;274;198;175;206;188;178;278;250;331;550;7141
421180;565;12;15;18;15;35;46;45;27;21;24;27;88;938
421185;223;3;6;5;12;13;10;24;10;3;23;3;15;350
421187;94;2;5;3;11;4;4;9;1;5;0;2;9;149
421189;262;19;20;24;17;27;39;23;3;8;2;21;117;582
421190;15452;683;777;846;643;752;910;594;616;728;683;748;1059;24491
421200;1040;7;23;33;27;23;22;24;24;29;24;28;75;1379
421205;256;11;12;8;1;12;14;16;5;1;4;4;6;350
421210;1868;59;48;54;89;78;75;75;55;50;38;57;134;2680
421220;2139;215;86;90;99;137;159;126;70;80;88;88;181;3558
421223;230;6;9;5;9;5;7;5;3;3;5;5;16;308
421225;585;14;28;51;28;11;25;20;22;20;35;29;44;912
421227;446;11;20;16;13;29;6;15;13;15;7;18;110;719
421230;915;30;53;26;29;36;34;22;28;38;28;31;92;1362
421240;505;19;6;13;15;13;18;21;13;14;11;17;20;685
421250;3058;161;189;137;132;110;144;138;117;108;130;171;226;4821
